,year,nation,description,value,type
0,1995,세계,생산 (exajoules),94.1,coal
1,1995,대한민국,생산 (exajoules),0.1,coal
2,1995,아제르바이잔,생산 (exajoules),-,coal
3,1995,방글라데시,생산 (exajoules),-,coal
4,1995,중국,생산 (exajoules),28.5,coal
5,1995,홍콩,생산 (exajoules),-,coal
6,1995,인도,생산 (exajoules),5.6,coal
7,1995,인도네시아,생산 (exajoules),1,coal
8,1995,이란,생산 (exajoules),-,coal
9,1995,이스라엘,생산 (exajoules),-,coal
10,1995,일본,생산 (exajoules),0.1,coal
11,1995,카자흐스탄,생산 (exajoules),1.5,coal
12,1995,말레이시아,생산 (exajoules),-,coal
13,1995,파키스탄,생산 (exajoules),0.1,coal
14,1995,필리핀,생산 (exajoules),-,coal
15,1995,카타르,생산 (exajoules),-,coal
16,1995,사우디아라비아,생산 (exajoules),-,coal
17,1995,스리랑카,생산 (exajoules),-,coal
18,1995,대만,생산 (exajoules),-,coal
19,1995,태국,생산 (exajoules),0.2,coal
20,1995,튀르키예,생산 (exajoules),0.5,coal
21,1995,투르크메니스탄,생산 (exajoules),-,coal
22,1995,아랍에미리트,생산 (exajoules),-,coal
23,1995,우즈베키스탄,생산 (exajoules),0,coal
24,1995,베트남,생산 (exajoules),0.2,coal
25,1995,캐나다,생산 (exajoules),1.8,coal
26,1995,멕시코,생산 (exajoules),0.2,coal
27,1995,미국,생산 (exajoules),22.2,coal
28,1995,아르헨티나,생산 (exajoules),-,coal
29,1995,브라질,생산 (exajoules),0.1,coal
30,1995,칠레,생산 (exajoules),-,coal
31,1995,콜롬비아,생산 (exajoules),0.7,coal
32,1995,에콰도르,생산 (exajoules),-,coal
33,1995,페루,생산 (exajoules),-,coal
34,1995,베네수엘라,생산 (exajoules),0.1,coal
35,1995,오스트리아,생산 (exajoules),-,coal
36,1995,벨라루스,생산 (exajoules),-,coal
37,1995,벨기에,생산 (exajoules),-,coal
38,1995,불가리아,생산 (exajoules),0.2,coal
39,1995,체코,생산 (exajoules),1.1,coal
40,1995,덴마크,생산 (exajoules),-,coal
41,1995,에스토니아,생산 (exajoules),-,coal
42,1995,핀란드,생산 (exajoules),-,coal
43,1995,프랑스,생산 (exajoules),-,coal
44,1995,독일,생산 (exajoules),3.3,coal
45,1995,그리스,생산 (exajoules),0.3,coal
46,1995,헝가리,생산 (exajoules),0.2,coal
47,1995,아이슬란드,생산 (exajoules),-,coal
48,1995,아일랜드,생산 (exajoules),-,coal
49,1995,이탈리아,생산 (exajoules),-,coal
50,1995,리투아니아,생산 (exajoules),-,coal
51,1995,북마케도니아,생산 (exajoules),-,coal
52,1995,네덜란드,생산 (exajoules),-,coal
53,1995,노르웨이,생산 (exajoules),-,coal
54,1995,폴란드,생산 (exajoules),3.9,coal
55,1995,포르투갈,생산 (exajoules),-,coal
56,1995,루마니아,생산 (exajoules),0.3,coal
57,1995,러시아,생산 (exajoules),5.2,coal
58,1995,슬로바키아,생산 (exajoules),-,coal
59,1995,스페인,생산 (exajoules),0.4,coal
60,1995,스웨덴,생산 (exajoules),-,coal
61,1995,스위스,생산 (exajoules),-,coal
62,1995,우크라이나,생산 (exajoules),1.8,coal
63,1995,영국,생산 (exajoules),1.4,coal
64,1995,알제리,생산 (exajoules),-,coal
65,1995,이집트,생산 (exajoules),-,coal
66,1995,모로코,생산 (exajoules),-,coal
67,1995,남아프리카공화국,생산 (exajoules),4.9,coal
68,1995,짐바브웨,생산 (exajoules),0.1,coal
