date,copper,gdp_r,gdp
1990-01-01,2450.067705,10047.386,5872.701
1990-04-01,2669.79473,10083.855,5960.028
1990-07-01,2921.856474,10090.569,6015.116
1990-10-01,2603.656298,9998.704,6004.733
1991-01-01,2434.635264,9951.916,6035.178
1991-04-01,2343.290674,10029.51,6126.862
1991-07-01,2262.008375,10080.195,6205.937
1991-10-01,2314.074817,10115.329,6264.54
1992-01-01,2197.085799,10236.435,6363.102
1992-04-01,2243.307937,10347.429,6470.763
1992-07-01,2486.78973,10449.673,6566.641
1992-10-01,2212.065448,10558.648,6680.803
1993-01-01,2209.591855,10576.275,6729.459
1993-04-01,1870.281003,10637.847,6808.939
1993-07-01,1912.220398,10688.606,6882.098
1993-10-01,1667.731036,10833.987,7013.738
1994-01-01,1861.773433,10939.116,7115.652
1994-04-01,2129.653187,11087.361,7246.931
1994-07-01,2453.943013,11152.176,7331.075
1994-10-01,2776.756387,11279.932,7455.288
1995-01-01,2931.128677,11319.951,7522.289
1995-04-01,2884.714007,11353.721,7580.997
1995-07-01,3009.003766,11450.31,7683.125
1995-10-01,2903.299285,11528.067,7772.586
1996-01-01,2571.005534,11614.418,7868.468
1996-04-01,2476.845627,11808.14,8032.84
1996-07-01,1978.954479,11914.063,8131.408
1996-10-01,2146.739867,12037.775,8259.771
1997-01-01,2418.029521,12115.472,8362.655
1997-04-01,2504.634595,12317.221,8518.825
1997-07-01,2267.868434,12471.01,8662.823
1997-10-01,1910.215968,12577.495,8765.907
1998-01-01,1699.586386,12703.742,8866.48
1998-04-01,1729.459398,12821.339,8969.699
1998-07-01,1640.788166,12982.752,9121.097
1998-10-01,1544.995998,13191.67,9293.991
1999-01-01,1407.8091,13315.597,9411.682
1999-04-01,1465.44382,13426.748,9526.21
1999-07-01,1678.533911,13604.771,9686.626
1999-10-01,1738.313598,13827.98,9900.169
2000-01-01,1796.891667,13878.147,10002.179
2000-04-01,1739.692684,14130.908,10247.72
2000-07-01,1874.053209,14145.312,10318.165
2000-10-01,1847.458333,14229.765,10435.744
2001-01-01,1765.113636,14183.12,10470.231
2001-04-01,1653.763757,14271.694,10599
2001-07-01,1473.626396,14214.516,10598.02
2001-10-01,1428.172109,14253.574,10660.465
2002-01-01,1558.995758,14372.785,10783.5
