,uranium,coal,lng
1995-01-01,10.775,37.1,3.38
1995-02-01,11.15,37.6,3.54
1995-03-01,11.8,38.35,3.8
1995-04-01,11.85,37.1,3.82
1995-05-01,11.9,38.77,3.71
1995-06-01,11.7,40.77,3.85
1995-07-01,11.7,41.05,3.62
1995-08-01,11.7,40.88,3.32
1995-09-01,11.85,40.93,3.35
1995-10-01,11.85,40.97,3.43
1995-11-01,11.85,39.59,3.41
1995-12-01,11.85,39.35,3.45
1996-01-01,12.2,39.37,3.59
1996-02-01,15.75,39.28,3.81
1996-03-01,15.75,39.01,3.76
1996-04-01,15.9875,39.33,3.82
1996-05-01,16.38333333,38.2,3.82
1996-06-01,16.5,38.2,3.79
1996-07-01,16.5,38.4,3.79
1996-08-01,16.46,38.35,3.87
1996-09-01,16.15,38.1,3.81
1996-10-01,15.74,37.6,4.04
1996-11-01,15.07,35.7,4.41
1996-12-01,14.7625,35.35,4.32
1997-01-01,14.4875,35.23,4.29
1997-02-01,13.81,34.6,4.4
1997-03-01,13.62,34.5,4.11
1997-04-01,12.825,35.4,3.72
1997-05-01,11.82777778,35.73,3.73
1997-06-01,10.94444444,34.5,3.66
1997-07-01,10.485,35,3.5
1997-08-01,10.39444444,36.93,3.43
1997-09-01,10.25,37.15,3.5
1997-10-01,11.28,37.15,3.5
1997-11-01,12.75,33.6,3.63
1997-12-01,12.5,31.4,3.66
1998-01-01,12.0375,31.4,3.46
1998-02-01,11.375,33.44,2.98
1998-03-01,10.6625,31.88,2.81
1998-04-01,10.75,31.18,2.61
1998-05-01,10.75,30.28,2.67
1998-06-01,10.75,30,2.66
1998-07-01,10.61111111,30,2.57
1998-08-01,10.5,26.2,2.57
1998-09-01,10.23333333,27.09,2.65
1998-10-01,9.605555556,27.1,2.76
1998-11-01,8.883333333,26.1,2.67
1998-12-01,8.4875,26.1,2.64
1999-01-01,9.0125,26.1,2.64
1999-02-01,9.2,26.1,2.57
1999-03-01,10.43571429,26.1,2.61
1999-04-01,10.85,26.1,2.68
1999-05-01,10.725,26.1,3.02
1999-06-01,10.55555556,26.1,3.19
1999-07-01,10.2625,26.1,3.23
1999-08-01,10.11428571,26.1,3.52
1999-09-01,9.91666667,26.1,3.83
1999-10-01,9.76111111,25.6,4.14
1999-11-01,9.7125,25.1,4.25
1999-12-01,9.6375,25.1,4.43
2000-01-01,9.55,25.1,4.54
2000-02-01,9.39375,25.1,4.58
2000-03-01,9.31,25.1,4.95
2000-04-01,9.14285714,25.1,5.08
2000-05-01,8.5,25.6,4.58
2000-06-01,8.23125,25.6,5.14
2000-07-01,8.1,25.6,5.38
2000-08-01,7.95714286,25.6,5.51
2000-09-01,7.56666667,27.15,5.56
2000-10-01,7.4,27.15,5.92
2000-11-01,7.12777778,27.15,5.86
2000-12-01,7.13571429,30.75,5.72
2001-01-01,7.1,32.1,4.98
2001-02-01,7.3875,32.1,4.66
2001-03-01,7.69444444,32.6,4.85
2001-04-01,8.22857143,33.5,4.79
2001-05-01,9,33.8,4.95
2001-06-01,8.77777778,33.9,5.11
2001-07-01,8.75,34,5.05
2001-08-01,8.95,33.8,4.73
2001-09-01,9.15,32.8,4.63
2001-10-01,9.46666667,32.4,4.65
2001-11-01,9.43333333,29.4,3.95
2001-12-01,9.5,27.35,3.68
2002-01-01,9.5875,29.1,3.57
2002-02-01,9.71875,29.85,3.64
2002-03-01,9.95,29.55,3.69
2002-04-01,9.75,28.84,4.07
2002-05-01,9.9,28.63,4.44
2002-06-01,9.9,26.65,4.53
2002-07-01,9.89375,24.9,5.76
2002-08-01,9.85,24,4.52
2002-09-01,9.797619048,24.45,4.63
2002-10-01,9.841304348,26.25,4.76
2002-11-01,9.864285714,26.25,4.8
2002-12-01,9.881818182,26.25,4.71
2003-01-01,10.15652174,26.67857143,5.01
2003-02-01,10.1,26.94642857,5.31
2003-03-01,10.1,26.14285714,5.44
2003-04-01,10.1,25.125,5.18
2003-05-01,10.89545455,24.96428571,4.87
2003-06-01,10.9,25.82142857,4.7
2003-07-01,10.95217391,26.08928571,4.67
2003-08-01,11.2375,27.13392857,4.75
2003-09-01,11.49285714,28.60714286,4.93
2003-10-01,12.37222222,29.46428571,4.82
2003-11-01,13.175,32.04910714,5.05
2003-12-01,13.35,36.42857143,5.04
2004-01-01,14.8,40.44642857,5.14
2004-02-01,16.05,44.73214286,5.2
2004-03-01,17.13888889,52.43303571,5.29
2004-04-01,17.75,57.05357143,5.5
2004-05-01,17.75,60.46875,5.47
2004-06-01,17.88125,63.80357143,5.88
2004-07-01,17.9,65.75892857,5.73
2004-08-01,17.9,63.48214286,5.9
2004-09-01,18.6,59.33035714,6.44
2004-10-01,20.08,60.66964286,6.66
2004-11-01,20.2,56.59821429,6.94
2004-12-01,20.5,55.98214286,6.54
2005-01-01,20.53571429,56.83392857,5.82
2005-02-01,21.2,53.46160714,6.1
2005-03-01,21.84444444,54.5625,6.46
2005-04-01,23.14444444,54.91071429,7.04
2005-05-01,28.25,54.97767857,7.22
2005-06-01,29,54.64285714,6.55
2005-07-01,29.27777778,54.53571429,7.06
2005-08-01,29.65,50.69074675,7.22
2005-09-01,30.43125,48.32142857,7.71
2005-10-01,32.75,44.52806122,8.01
2005-11-01,33.55555556,40.64123377,8.11
2005-12-01,35.53125,41.68928571,7.09
2006-01-01,36.75,45.64285714,7.34
2006-02-01,37.6875,50.91964286,7.89
2006-03-01,39.77,53.21273292,7.91
2006-04-01,41.1,56.4702381,7.81
2006-05-01,42.27777778,56.72193878,8.56
2006-06-01,44.16666667,54.91071429,8.64
2006-07-01,46.5,56.95408163,8.51
2006-08-01,47.44444444,55.63392857,8.37
2006-09-01,52.44444444,51.8877551,8.83
2006-10-01,56.0625,47.69074675,7.94
2006-11-01,61.44444444,48.21428571,7.5
2006-12-01,66.57142857,54.51033835,7.29
2007-01-01,72,55.76298701,7.66
2007-02-01,76.25,56.00625,7.17
2007-03-01,89.44444444,56.92451299,7.36
2007-04-01,110.4285714,58.05169173,7.72
2007-05-01,119.1111111,58.45663265,8.21
2007-06-01,136.2222222,63.1505102,8.48
2007-07-01,131.5,72.79383117,8.22
2007-08-01,109.6,74.83441558,8.61
2007-09-01,85,73.55357143,8.55
2007-10-01,77.5,79.50931677,9.16
2007-11-01,92,93.11688312,9.52
2007-12-01,91.8,98.90977444,10.27
2008-01-01,87.55555556,98.4862013,10.5
2008-02-01,76,141.8877551,10.75
2008-03-01,73.71428571,137.7631579,10.63
2008-04-01,69.44444444,131.737013,11.48
2008-05-01,61.66666667,143.0758929,12.3
2008-06-01,59,166.9897959,13.31
2008-07-01,61.84375,195.1863354,14.08
2008-08-01,64.5,173.3035714,13.81
2008-09-01,63,164.4983766,12.6
2008-10-01,48.6,119.3664596,13.15
2008-11-01,50.5,101.3823214,9.1
2008-12-01,54.33333333,82.60867347,7.38
2009-01-01,51.44444444,85.56173469,6.03
2009-02-01,47,80.82267857,5.83
2009-03-01,43.375,65.45211039,6.25
2009-04-01,41.71875,66.27053571,6.47
2009-05-01,48.55555556,67.01503759,6.79
2009-06-01,51.5,75.81331169,6.97
2009-07-01,49.7,77.62034161,8.05
2009-08-01,47.1875,77.88214286,8.48
2009-09-01,44.27777778,73.14935065,8.55
2009-10-01,46.11111111,75.70373377,8.75
2009-11-01,44.75,82.26530612,8.56
2009-12-01,44.4375,86.35969388,9.16
2010-01-01,43.825,100.14375,9.34
2010-02-01,42.1,98.15892857,9.01
2010-03-01,40.91111111,100.0993789,9.17
2010-04-01,41.325,104.9625,9.34
2010-05-01,41.3,107.9351504,10.04
2010-06-01,40.77777778,104.4837662,9.28
2010-07-01,41.94444444,102.861526,9.09
2010-08-01,46.0625,96.84693878,8.85
2010-09-01,46.66666667,100.1172078,8.98
2010-10-01,48.83333333,103.2071429,9.52
2010-11-01,57.1625,112.5837662,10
2010-12-01,60.625,123.7857143,9.95
2011-01-01,63.875,140.9935714,10.81
2011-02-01,65,134.6244643,11.89
2011-03-01,63.5,135.9712733,12.18
2011-04-01,57.82142857,131.5255952,14.41
2011-05-01,56.0625,127.9628571,15.75
2011-06-01,55.4,128.362013,16.29
2011-07-01,52.78888889,128.9892857,16.29
2011-08-01,50.68333333,127.462013,17.7
2011-09-01,51.98333333,130.5618506,17.78
2011-10-01,52.3375,127.9127551,17.6
2011-11-01,53.19444444,122.7452922,17.89
2011-12-01,52.17857143,118.1764286,18.05
2012-01-01,52.3125,123.0857143,17.46
2012-02-01,52.05555556,124.9668367,16.71
2012-03-01,51.28888889,114.150974,18.42
2012-04-01,51.3,110.3537594,19.57
2012-05-01,51.88888889,103.8194805,18.33
2012-06-01,50.83333333,92.75469925,19.38
2012-07-01,50.35555556,91.36412338,19.1
2012-08-01,49.25,93.45633117,18.39
2012-09-01,47.725,93.18160714,18.76
2012-10-01,44.61111111,86.88540373,17.27
2012-11-01,41.5,87.21964286,16.83
2012-12-01,43.66666667,96.07612782,17.52
2013-01-01,42.75,96.95211039,17.79
2013-02-01,43.40625,100.3473214,17.72
2013-03-01,42.28125,97.31678571,18.31
2013-04-01,41.4125,93.23316327,17.71
2013-05-01,40.605,93.12602041,16.94
2013-06-01,39.9375,89.64267857,17.69
2013-07-01,38.02222222,82.22236025,16.98
2013-08-01,34.99416264,82.22142857,17
2013-09-01,34.45328675,83.29591837,17.01
2013-10-01,34.84849559,85.44363354,16.49
2013-11-01,35.59200311,88.36326531,16.71
2013-12-01,34.5932971,89.44446429,17.72
2014-01-01,35.21498897,87.97353896,17.76
2014-02-01,35.54673913,83.02767857,17.96
2014-03-01,34.70285542,79.75306122,17.81
2014-04-01,32.74456522,78.52071429,17.67
2014-05-01,28.53985507,78.83464286,17.68
2014-06-01,28.22545721,77.34846939,17.51
2014-07-01,28.40020479,74.03804348,17.43
2014-08-01,30.82932195,74.24839286,16.23
2014-09-01,34.37182971,71.52564935,15.7
2014-10-01,35.75173283,68.98462733,15.23
2014-11-01,40.59737319,67.33071429,16.41
2014-12-01,36.94825142,67.1622449,16.58
2015-01-01,35.89772727,64.71632653,15.5
2015-02-01,38.1875,70.65910714,14.69
2015-03-01,39.31818182,68.34496753,13.05
2015-04-01,38.84090909,61.19785714,11.02
2015-05-01,35.69047619,65.6712406,9.04
2015-06-01,36.04545455,63.10470779,8.79
2015-07-01,36.2826087,64.48322981,9.32
2015-08-01,36.0952381,63.39321429,10.16
2015-09-01,37.05681818,61.76542208,10.01
2015-10-01,37.23863636,57.33068182,10.37
2015-11-01,35.96428571,55.77806122,9.4
2015-12-01,35.16304348,55.86581633,10.15
2016-01-01,34.69047619,53.42892857,8.46
2016-02-01,34.00714286,53.78163265,7.99
2016-03-01,30.10652174,55.43520408,8.01
2016-04-01,27.81666667,54.65867347,6.68
2016-05-01,27.95454545,54.52714286,6.81
2016-06-01,27.35227273,56.22857143,7.08
2016-07-01,25.8452381,64.41836735,6.85
2016-08-01,25.90217391,71.32694805,7.42
2016-09-01,24.875,76.37386364,7.79
2016-10-01,21.48809524,96.23979592,7.93
2016-11-01,18.56818182,111.4280844,7.16
2016-12-01,19.21590909,93.13446429,7.09
2017-01-01,22.17045455,91.4244898,9.174090909
2017-02-01,25.15,85.96928571,7.128
2017-03-01,24.64130435,86.33385093,5.794782609
2017-04-01,23.25,90.11071429,5.7095
2017-05-01,21.64130435,80.11836735,5.7190625
2017-06-01,19.75,85.67337662,5.523636364
2017-07-01,20.36428571,90.77397959,5.631904762
2017-08-01,20.40652174,102.7724026,6.130869565
2017-09-01,20.42857143,104.775,7.084285714
2017-10-01,20.23409091,103.2496753,8.792727273
2017-11-01,22.34545455,102.487013,9.571428571
2017-12-01,24.69047619,105.968797,10.70904762
2018-01-01,23.36956522,111.9326299,11.66956522
2018-02-01,21.7625,111.4773214,10.471
2018-03-01,21.72727273,105.7280612,8.460909091
2018-04-01,20.8452381,99.22339286,7.475238095
2018-05-01,21.97826087,109.375,8.612608696
2018-06-01,23.07142857,121.5244898,10.43761905
2018-07-01,23.41590909,125.0858766,9.972272727
2018-08-01,26.04782609,123.7349026,10.59043478
2018-09-01,27.1075,122.2291071,11.0905
2018-10-01,27.50869565,114.7621118,10.03565217
2018-11-01,28.93409091,107.5529221,9.777272727
2018-12-01,28.76190476,106.143609,8.951904762
2019-01-01,28.71086957,105.4012987,8.285652174
2019-02-01,28.645,101.3571429,6.501
2019-03-01,27.20238095,99.66989796,5.245238095
2019-04-01,25.70454545,88.76464286,5.079761905
2019-05-01,24.68478261,89.56428571,5.03326087
2019-06-01,24.475,77.62982143,4.38925
2019-07-01,25.22826087,77.84580745,4.419347826
2019-08-01,25.28409091,69.73928571,4.280227273
2019-09-01,25.41190476,66.95867347,5.05452381
2019-10-01,24.9173913,69.19425466,6.017391304
2019-11-01,24.98809524,69.72908163,5.456428571
2019-12-01,25.625,70.46464286,5.573409091
2020-01-01,24.64130435,72.10616883,4.913695652
2020-02-01,24.6875,71.05017857,2.92025
2020-03-01,24.66136364,70.20487013,3.278863636
2020-04-01,29.96363636,64.62,2.126363636
2020-05-01,33.51190476,54.14830827,2.032142857
2020-06-01,33.08863636,55.00275974,2.050454545
2020-07-01,32.36086957,51.67220497,2.286956522
2020-08-01,31.37619048,51.3825,3.625714286
2020-09-01,29.98181818,52.00568182,4.609772727
2020-10-01,29.63636364,58.06948052,6.121818182
2020-11-01,29.48571429,62.94642857,6.822142857
2020-12-01,29.77391304,80.58979592,11.60891304
2021-01-01,29.85714286,90.99535714,20.4152381
2021-02-01,28.6625,92.48571429,7.16875
2021-03-01,28.33478261,95.23090062,6.443478261
2021-04-01,29.75227273,97.84767857,7.894130435
