,국가별,항목,단위,연도,value
0,세계,전체[exajoules],exajoules,1995,363.80667
1,세계,석탄[exajoules],exajoules,1995,93.5127
2,세계,석유[100만 톤],100만 톤,1995,3286.70456
3,세계,천연가스[exajoules],exajoules,1995,75.97617
4,세계,수력[exajoules],exajoules,1995,26.43607
5,세계,원자력[exajoules],exajoules,1995,23.72477
6,대한민국,전체[exajoules],exajoules,1995,6.32498
7,대한민국,석탄[exajoules],exajoules,1995,1.15118
8,대한민국,석유[100만 톤],100만 톤,1995,94.845
9,대한민국,천연가스[exajoules],exajoules,1995,0.34716
10,대한민국,수력[exajoules],exajoules,1995,0.02938
11,대한민국,원자력[exajoules],exajoules,1995,0.6847
12,아제르바이잔,전체[exajoules],exajoules,1995,0.57833
13,아제르바이잔,석탄[exajoules],exajoules,1995,0.00013
14,아제르바이잔,석유[100만 톤],100만 톤,1995,6.58023
15,아제르바이잔,천연가스[exajoules],exajoules,1995,0.28201
16,아제르바이잔,수력[exajoules],exajoules,1995,0.01656
17,방글라데시,전체[exajoules],exajoules,1995,0.38559
18,방글라데시,석탄[exajoules],exajoules,1995,0.01343
19,방글라데시,석유[100만 톤],100만 톤,1995,2.933
20,방글라데시,천연가스[exajoules],exajoules,1995,0.24272
21,방글라데시,수력[exajoules],exajoules,1995,0.00396
22,중국,전체[exajoules],exajoules,1995,37.26957
23,중국,석탄[exajoules],exajoules,1995,27.85266
24,중국,석유[100만 톤],100만 톤,1995,153.5235
25,중국,천연가스[exajoules],exajoules,1995,0.64366
26,중국,수력[exajoules],exajoules,1995,2.02875
27,중국,원자력[exajoules],exajoules,1995,0.13109
28,키프로스,전체[exajoules],exajoules,1995,0.09083
29,키프로스,석탄[exajoules],exajoules,1995,0.00448
30,키프로스,석유[100만 톤],100만 톤,1995,2.057
31,홍콩,전체[exajoules],exajoules,1995,0.65045
32,홍콩,석탄[exajoules],exajoules,1995,0.23454
33,홍콩,석유[100만 톤],100만 톤,1995,9.568
34,홍콩,천연가스[exajoules],exajoules,1995,0.00109
35,인도,전체[exajoules],exajoules,1995,10.66722
36,인도,석탄[exajoules],exajoules,1995,5.87381
37,인도,석유[100만 톤],100만 톤,1995,75.232
38,인도,천연가스[exajoules],exajoules,1995,0.6508
39,인도,수력[exajoules],exajoules,1995,0.80819
40,인도,원자력[exajoules],exajoules,1995,0.07778
41,인도네시아,전체[exajoules],exajoules,1995,3.13302
42,인도네시아,석탄[exajoules],exajoules,1995,0.22708
43,인도네시아,석유[100만 톤],100만 톤,1995,40.855
44,인도네시아,천연가스[exajoules],exajoules,1995,1.0281
45,인도네시아,수력[exajoules],exajoules,1995,0.08828
46,이란,전체[exajoules],exajoules,1995,3.8086
47,이란,석탄[exajoules],exajoules,1995,0.04322
