,year,nation,description,value,type
0,1995,세계,생산 (exajoules),75.2,gas
1,1995,대한민국,생산 (exajoules),-,gas
2,1995,아제르바이잔,생산 (exajoules),0.2,gas
3,1995,바레인,생산 (exajoules),0.3,gas
4,1995,방글라데시,생산 (exajoules),0.2,gas
5,1995,브루나이,생산 (exajoules),0.4,gas
6,1995,중국,생산 (exajoules),0.7,gas
7,1995,홍콩,생산 (exajoules),-,gas
8,1995,인도,생산 (exajoules),0.7,gas
9,1995,인도네시아,생산 (exajoules),2.2,gas
10,1995,이란,생산 (exajoules),1.1,gas
11,1995,이라크,생산 (exajoules),0.1,gas
12,1995,이스라엘,생산 (exajoules),0,gas
13,1995,일본,생산 (exajoules),-,gas
14,1995,카자흐스탄,생산 (exajoules),0.2,gas
15,1995,쿠웨이트,생산 (exajoules),0.3,gas
16,1995,말레이시아,생산 (exajoules),1,gas
17,1995,미얀마,생산 (exajoules),0.1,gas
18,1995,오만,생산 (exajoules),0.1,gas
19,1995,파키스탄,생산 (exajoules),0.5,gas
20,1995,필리핀,생산 (exajoules),-,gas
21,1995,카타르,생산 (exajoules),0.3,gas
22,1995,사우디아라비아,생산 (exajoules),1.5,gas
23,1995,싱가포르,생산 (exajoules),-,gas
24,1995,시리아,생산 (exajoules),0.1,gas
25,1995,대만,생산 (exajoules),-,gas
26,1995,태국,생산 (exajoules),0.4,gas
27,1995,튀르키예,생산 (exajoules),-,gas
28,1995,투르크메니스탄,생산 (exajoules),1,gas
29,1995,아랍에미리트,생산 (exajoules),1.1,gas
30,1995,우즈베키스탄,생산 (exajoules),1.6,gas
31,1995,베트남,생산 (exajoules),0,gas
32,1995,예멘,생산 (exajoules),-,gas
33,1995,캐나다,생산 (exajoules),5.5,gas
34,1995,멕시코,생산 (exajoules),1.1,gas
35,1995,미국,생산 (exajoules),18.1,gas
36,1995,아르헨티나,생산 (exajoules),0.9,gas
37,1995,볼리비아,생산 (exajoules),0.1,gas
38,1995,브라질,생산 (exajoules),0.2,gas
39,1995,칠레,생산 (exajoules),-,gas
40,1995,콜롬비아,생산 (exajoules),0.2,gas
41,1995,에콰도르,생산 (exajoules),-,gas
42,1995,페루,생산 (exajoules),0,gas
43,1995,트리니다드토바고,생산 (exajoules),0.3,gas
44,1995,베네수엘라,생산 (exajoules),1.1,gas
45,1995,오스트리아,생산 (exajoules),-,gas
46,1995,벨라루스,생산 (exajoules),-,gas
47,1995,벨기에,생산 (exajoules),-,gas
48,1995,불가리아,생산 (exajoules),-,gas
49,1995,크로아티아,생산 (exajoules),-,gas
50,1995,체코,생산 (exajoules),-,gas
51,1995,덴마크,생산 (exajoules),0.2,gas
52,1995,에스토니아,생산 (exajoules),-,gas
53,1995,핀란드,생산 (exajoules),-,gas
54,1995,프랑스,생산 (exajoules),-,gas
55,1995,독일,생산 (exajoules),0.6,gas
56,1995,그리스,생산 (exajoules),-,gas
57,1995,헝가리,생산 (exajoules),-,gas
58,1995,아일랜드,생산 (exajoules),-,gas
59,1995,이탈리아,생산 (exajoules),0.7,gas
60,1995,라트비아,생산 (exajoules),-,gas
61,1995,리투아니아,생산 (exajoules),-,gas
62,1995,룩셈부르크,생산 (exajoules),-,gas
63,1995,북마케도니아,생산 (exajoules),-,gas
64,1995,네덜란드,생산 (exajoules),2.5,gas
65,1995,노르웨이,생산 (exajoules),1,gas
66,1995,폴란드,생산 (exajoules),0.1,gas
67,1995,포르투갈,생산 (exajoules),-,gas
68,1995,루마니아,생산 (exajoules),0.6,gas
69,1995,러시아,생산 (exajoules),19.5,gas
70,1995,슬로바키아,생산 (exajoules),-,gas
71,1995,슬로베니아,생산 (exajoules),-,gas
72,1995,스페인,생산 (exajoules),-,gas
73,1995,스웨덴,생산 (exajoules),-,gas
74,1995,스위스,생산 (exajoules),-,gas
75,1995,우크라이나,생산 (exajoules),0.6,gas
76,1995,영국,생산 (exajoules),2.7,gas
77,1995,알제리,생산 (exajoules),2.2,gas
78,1995,이집트,생산 (exajoules),0.4,gas
79,1995,리비아,생산 (exajoules),0.2,gas
80,1995,모로코,생산 (exajoules),-,gas
81,1995,나이지리아,생산 (exajoules),0.2,gas
82,1995,남아프리카공화국,생산 (exajoules),-,gas
83,1995,오스트레일리아,생산 (exajoules),1.1,gas
84,1995,뉴질랜드,생산 (exajoules),-,gas
85,1995,세계,- 점유율 (%),100,gas
86,1995,대한민국,- 점유율 (%),-,gas
87,1995,아제르바이잔,- 점유율 (%),0.3,gas
88,1995,바레인,- 점유율 (%),0.3,gas
89,1995,방글라데시,- 점유율 (%),0.3,gas
90,1995,브루나이,- 점유율 (%),0.6,gas
91,1995,중국,- 점유율 (%),0.8,gas
92,1995,홍콩,- 점유율 (%),-,gas
93,1995,인도,- 점유율 (%),0.9,gas
94,1995,인도네시아,- 점유율 (%),2.9,gas
95,1995,이란,- 점유율 (%),1.6,gas
96,1995,이라크,- 점유율 (%),0.1,gas
97,1995,이스라엘,- 점유율 (%),-,gas
98,1995,일본,- 점유율 (%),-,gas
99,1995,카자흐스탄,- 점유율 (%),0.3,gas
100,1995,쿠웨이트,- 점유율 (%),0.4,gas
101,1995,말레이시아,- 점유율 (%),1.4,gas
102,1995,미얀마,- 점유율 (%),0.1,gas
103,1995,오만,- 점유율 (%),0.2,gas
104,1995,파키스탄,- 점유율 (%),0.7,gas
105,1995,필리핀,- 점유율 (%),-,gas
106,1995,카타르,- 점유율 (%),0.6,gas
107,1995,사우디아라비아,- 점유율 (%),2,gas
108,1995,싱가포르,- 점유율 (%),-,gas
109,1995,시리아,- 점유율 (%),0.1,gas
110,1995,대만,- 점유율 (%),-,gas
111,1995,태국,- 점유율 (%),0.5,gas
112,1995,튀르키예,- 점유율 (%),-,gas
113,1995,투르크메니스탄,- 점유율 (%),1.4,gas
114,1995,아랍에미리트,- 점유율 (%),1.5,gas
115,1995,우즈베키스탄,- 점유율 (%),2.1,gas
116,1995,베트남,- 점유율 (%),0,gas
117,1995,예멘,- 점유율 (%),-,gas
118,1995,캐나다,- 점유율 (%),7.5,gas
119,1995,멕시코,- 점유율 (%),1.4,gas
120,1995,미국,- 점유율 (%),25.2,gas
121,1995,아르헨티나,- 점유율 (%),1.2,gas
122,1995,볼리비아,- 점유율 (%),0.1,gas
123,1995,브라질,- 점유율 (%),0.2,gas
124,1995,칠레,- 점유율 (%),-,gas
125,1995,콜롬비아,- 점유율 (%),0.2,gas
126,1995,에콰도르,- 점유율 (%),-,gas
