,국가별,항목,연도,value
0,대한민국,전체,1995,183857.0
1,대한민국,가연성 연료,1995,111348.0
2,대한민국,수력,1995,5478.0
3,대한민국,원자력,1995,67029.0
4,대한민국,풍력,1995,0.0
5,대한민국,태양열,1995,2.0
6,대한민국,기타,1995,
7,아르메니아,전체,1995,5561.0
8,아르메니아,가연성 연료,1995,3338.0
9,아르메니아,수력,1995,1919.0
10,아르메니아,원자력,1995,304.0
11,아르메니아,풍력,1995,
12,아르메니아,태양열,1995,
13,아제르바이잔,전체,1995,17045.0
14,아제르바이잔,가연성 연료,1995,15489.0
15,아제르바이잔,수력,1995,1556.0
16,아제르바이잔,풍력,1995,
17,아제르바이잔,태양열,1995,
18,바레인,전체,1995,11647.0
19,바레인,가연성 연료,1995,11647.0
20,바레인,풍력,1995,
21,바레인,태양열,1995,
22,방글라데시,전체,1995,11689.0
23,방글라데시,가연성 연료,1995,11317.0
24,방글라데시,수력,1995,372.0
25,방글라데시,풍력,1995,
26,방글라데시,태양열,1995,
27,브루나이,전체,1995,1966.0
28,브루나이,가연성 연료,1995,1966.0
29,브루나이,태양열,1995,
30,캄보디아,전체,1995,249.0
31,캄보디아,가연성 연료,1995,198.0
32,캄보디아,수력,1995,51.0
33,캄보디아,태양열,1995,
34,중국,전체,1995,1007726.0
35,중국,가연성 연료,1995,804316.0
36,중국,수력,1995,190577.0
37,중국,원자력,1995,12833.0
38,중국,풍력,1995,
39,중국,태양열,1995,
40,중국,기타,1995,
41,키프로스,전체,1995,2497.0
42,키프로스,가연성 연료,1995,2497.0
43,키프로스,풍력,1995,
44,키프로스,태양열,1995,
45,조지아,전체,1995,8154.0
46,조지아,가연성 연료,1995,2951.0
47,조지아,수력,1995,5203.0
48,조지아,풍력,1995,
49,홍콩,전체,1995,27916.0
50,홍콩,가연성 연료,1995,27916.0
51,인도,전체,1995,418043.0
52,인도,가연성 연료,1995,336967.0
53,인도,수력,1995,72596.0
54,인도,원자력,1995,7982.0
55,인도,풍력,1995,498.0
56,인도,태양열,1995,
57,인도,기타,1995,
58,인도네시아,전체,1995,68399.0
59,인도네시아,가연성 연료,1995,55276.0
60,인도네시아,수력,1995,10913.0
61,인도네시아,풍력,1995,
62,인도네시아,태양열,1995,
63,인도네시아,기타,1995,2210.0
64,이란,전체,1995,84969.0
65,이란,가연성 연료,1995,77681.0
66,이란,수력,1995,7288.0
67,이란,원자력,1995,
68,이란,풍력,1995,
69,이란,태양열,1995,
70,이라크,전체,1995,29000.0
71,이라크,가연성 연료,1995,28430.0
72,이라크,수력,1995,570.0
73,이라크,태양열,1995,
74,이스라엘,전체,1995,30425.0
75,이스라엘,가연성 연료,1995,30400.0
76,이스라엘,수력,1995,25.0
77,이스라엘,풍력,1995,
78,이스라엘,태양열,1995,
79,이스라엘,기타,1995,
80,일본,전체,1995,990425.0
81,일본,가연성 연료,1995,580350.0
82,일본,수력,1995,92565.0
83,일본,원자력,1995,291254.0
84,일본,풍력,1995,3.0
85,일본,태양열,1995,106.0
86,일본,기타,1995,26147.0
87,요르단,전체,1995,5616.0
88,요르단,가연성 연료,1995,5598.0
89,요르단,수력,1995,18.0
90,요르단,풍력,1995,
91,요르단,태양열,1995,
92,카자흐스탄,전체,1995,66659.0
93,카자흐스탄,가연성 연료,1995,58328.0
94,카자흐스탄,수력,1995,8331.0
95,카자흐스탄,풍력,1995,
96,카자흐스탄,태양열,1995,
97,북한,전체,1995,23000.0
98,북한,가연성 연료,1995,8800.0
99,북한,수력,1995,14200.0
100,북한,태양열,1995,
101,쿠웨이트,전체,1995,24254.0
102,쿠웨이트,가연성 연료,1995,24254.0
103,쿠웨이트,풍력,1995,
104,쿠웨이트,태양열,1995,
105,키르기스스탄,전체,1995,14285.0
106,키르기스스탄,가연성 연료,1995,3167.0
107,키르기스스탄,수력,1995,11118.0
108,레바논,전체,1995,5573.0
109,레바논,가연성 연료,1995,4841.0
110,레바논,수력,1995,732.0
111,레바논,태양열,1995,
112,말레이시아,전체,1995,46656.0
113,말레이시아,가연성 연료,1995,40490.0
114,말레이시아,수력,1995,6166.0
115,말레이시아,태양열,1995,
116,몽골,전체,1995,2629.0
117,몽골,가연성 연료,1995,2629.0
118,몽골,수력,1995,
119,몽골,풍력,1995,
120,몽골,태양열,1995,
121,미얀마,전체,1995,4056.0
122,미얀마,가연성 연료,1995,2432.0
123,미얀마,수력,1995,1624.0
124,미얀마,태양열,1995,
125,마요트,전체,1995,36.0
126,마요트,가연성 연료,1995,36.0
127,마요트,태양열,1995,
128,네팔,전체,1995,1000.0
129,네팔,가연성 연료,1995,97.0
130,네팔,수력,1995,903.0
131,네팔,풍력,1995,
132,네팔,태양열,1995,
133,오만,전체,1995,6500.0
134,오만,가연성 연료,1995,6500.0
135,오만,태양열,1995,
136,파키스탄,전체,1995,53555.0
137,파키스탄,가연성 연료,1995,30186.0
138,파키스탄,수력,1995,22858.0
139,파키스탄,원자력,1995,511.0
140,파키스탄,풍력,1995,
141,파키스탄,태양열,1995,
142,파키스탄,기타,1995,
143,팔레스타인,전체,1995,64.0
144,팔레스타인,가연성 연료,1995,64.0
145,팔레스타인,태양열,1995,
146,필리핀,전체,1995,30875.0
