,year,nation,description,value,type
0,1995,세계,생산 (100만 톤),3279.1,oil
1,1995,대한민국,생산 (100만 톤),-,oil
2,1995,아제르바이잔,생산 (100만 톤),9.2,oil
3,1995,방글라데시,생산 (100만 톤),-,oil
4,1995,브루나이,생산 (100만 톤),8.5,oil
5,1995,중국,생산 (100만 톤),149,oil
6,1995,키프로스,생산 (100만 톤),-,oil
7,1995,홍콩,생산 (100만 톤),-,oil
8,1995,인도,생산 (100만 톤),36.6,oil
9,1995,인도네시아,생산 (100만 톤),76.5,oil
10,1995,이란,생산 (100만 톤),185.5,oil
11,1995,이라크,생산 (100만 톤),26,oil
12,1995,이스라엘,생산 (100만 톤),-,oil
13,1995,일본,생산 (100만 톤),-,oil
14,1995,카자흐스탄,생산 (100만 톤),20.6,oil
15,1995,쿠웨이트,생산 (100만 톤),104.9,oil
16,1995,말레이시아,생산 (100만 톤),33.3,oil
17,1995,오만,생산 (100만 톤),42.8,oil
18,1995,파키스탄,생산 (100만 톤),-,oil
19,1995,필리핀,생산 (100만 톤),-,oil
20,1995,카타르,생산 (100만 톤),21.8,oil
21,1995,사우디아라비아,생산 (100만 톤),431.3,oil
22,1995,싱가포르,생산 (100만 톤),-,oil
23,1995,스리랑카,생산 (100만 톤),-,oil
24,1995,시리아,생산 (100만 톤),29.6,oil
25,1995,대만,생산 (100만 톤),-,oil
26,1995,태국,생산 (100만 톤),3.3,oil
27,1995,튀르키예,생산 (100만 톤),-,oil
28,1995,투르크메니스탄,생산 (100만 톤),4.1,oil
29,1995,아랍에미리트,생산 (100만 톤),114.4,oil
30,1995,우즈베키스탄,생산 (100만 톤),7.6,oil
31,1995,베트남,생산 (100만 톤),7.6,oil
32,1995,예멘,생산 (100만 톤),16.7,oil
33,1995,캐나다,생산 (100만 톤),111.9,oil
34,1995,멕시코,생산 (100만 톤),150.2,oil
35,1995,미국,생산 (100만 톤),383.6,oil
36,1995,아르헨티나,생산 (100만 톤),37.5,oil
37,1995,브라질,생산 (100만 톤),37.5,oil
38,1995,칠레,생산 (100만 톤),-,oil
39,1995,콜롬비아,생산 (100만 톤),31,oil
40,1995,에콰도르,생산 (100만 톤),21,oil
41,1995,페루,생산 (100만 톤),6.4,oil
42,1995,트리니다드토바고,생산 (100만 톤),6.7,oil
43,1995,베네수엘라,생산 (100만 톤),155.3,oil
44,1995,오스트리아,생산 (100만 톤),-,oil
45,1995,벨라루스,생산 (100만 톤),-,oil
46,1995,벨기에,생산 (100만 톤),-,oil
47,1995,불가리아,생산 (100만 톤),-,oil
48,1995,크로아티아,생산 (100만 톤),-,oil
49,1995,체코,생산 (100만 톤),-,oil
50,1995,덴마크,생산 (100만 톤),9.1,oil
51,1995,에스토니아,생산 (100만 톤),-,oil
52,1995,핀란드,생산 (100만 톤),-,oil
53,1995,프랑스,생산 (100만 톤),-,oil
54,1995,독일,생산 (100만 톤),-,oil
55,1995,그리스,생산 (100만 톤),-,oil
56,1995,헝가리,생산 (100만 톤),-,oil
57,1995,아이슬란드,생산 (100만 톤),-,oil
58,1995,아일랜드,생산 (100만 톤),-,oil
59,1995,이탈리아,생산 (100만 톤),5.2,oil
60,1995,라트비아,생산 (100만 톤),-,oil
61,1995,리투아니아,생산 (100만 톤),-,oil
62,1995,룩셈부르크,생산 (100만 톤),-,oil
63,1995,북마케도니아,생산 (100만 톤),-,oil
64,1995,네덜란드,생산 (100만 톤),-,oil
65,1995,노르웨이,생산 (100만 톤),138.4,oil
66,1995,폴란드,생산 (100만 톤),-,oil
67,1995,포르투갈,생산 (100만 톤),-,oil
68,1995,루마니아,생산 (100만 톤),7,oil
69,1995,러시아,생산 (100만 톤),310.7,oil
70,1995,슬로바키아,생산 (100만 톤),-,oil
71,1995,슬로베니아,생산 (100만 톤),-,oil
72,1995,스페인,생산 (100만 톤),-,oil
73,1995,스웨덴,생산 (100만 톤),-,oil
74,1995,스위스,생산 (100만 톤),-,oil
75,1995,우크라이나,생산 (100만 톤),-,oil
76,1995,영국,생산 (100만 톤),129.9,oil
77,1995,알제리,생산 (100만 톤),55.8,oil
78,1995,앙골라,생산 (100만 톤),31.2,oil
79,1995,차드,생산 (100만 톤),-,oil
80,1995,콩고,생산 (100만 톤),9.3,oil
81,1995,이집트,생산 (100만 톤),46.6,oil
82,1995,적도기니,생산 (100만 톤),0.3,oil
83,1995,가봉,생산 (100만 톤),17.8,oil
84,1995,리비아,생산 (100만 톤),67.9,oil
85,1995,모로코,생산 (100만 톤),-,oil
86,1995,나이지리아,생산 (100만 톤),95.1,oil
87,1995,남아프리카공화국,생산 (100만 톤),-,oil
88,1995,남수단,생산 (100만 톤),-,oil
89,1995,수단,생산 (100만 톤),0.1,oil
90,1995,튀니지,생산 (100만 톤),4.4,oil
91,1995,오스트레일리아,생산 (100만 톤),26.7,oil
92,1995,뉴질랜드,생산 (100만 톤),-,oil
93,1995,세계,- 점유율 (%),100,oil
94,1995,대한민국,- 점유율 (%),-,oil
95,1995,아제르바이잔,- 점유율 (%),0.3,oil
96,1995,방글라데시,- 점유율 (%),-,oil
97,1995,브루나이,- 점유율 (%),0.3,oil
98,1995,중국,- 점유율 (%),4.5,oil
99,1995,키프로스,- 점유율 (%),-,oil
100,1995,홍콩,- 점유율 (%),-,oil
101,1995,인도,- 점유율 (%),1.1,oil
102,1995,인도네시아,- 점유율 (%),2.3,oil
103,1995,이란,- 점유율 (%),5.6,oil
104,1995,이라크,- 점유율 (%),0.8,oil
105,1995,이스라엘,- 점유율 (%),-,oil
106,1995,일본,- 점유율 (%),-,oil
107,1995,카자흐스탄,- 점유율 (%),0.6,oil
108,1995,쿠웨이트,- 점유율 (%),3.2,oil
109,1995,말레이시아,- 점유율 (%),1,oil
110,1995,오만,- 점유율 (%),1.3,oil
111,1995,파키스탄,- 점유율 (%),-,oil
112,1995,필리핀,- 점유율 (%),-,oil
113,1995,카타르,- 점유율 (%),0.7,oil
114,1995,사우디아라비아,- 점유율 (%),13.3,oil
115,1995,싱가포르,- 점유율 (%),-,oil
116,1995,스리랑카,- 점유율 (%),-,oil
117,1995,시리아,- 점유율 (%),0.9,oil
118,1995,대만,- 점유율 (%),-,oil
119,1995,태국,- 점유율 (%),0.1,oil
120,1995,튀르키예,- 점유율 (%),-,oil
121,1995,투르크메니스탄,- 점유율 (%),0.1,oil
122,1995,아랍에미리트,- 점유율 (%),3.4,oil
123,1995,우즈베키스탄,- 점유율 (%),0.2,oil
124,1995,베트남,- 점유율 (%),0.2,oil
125,1995,예멘,- 점유율 (%),0.5,oil
126,1995,캐나다,- 점유율 (%),3.4,oil
127,1995,멕시코,- 점유율 (%),4.6,oil
128,1995,미국,- 점유율 (%),11.7,oil
129,1995,아르헨티나,- 점유율 (%),1.1,oil
130,1995,브라질,- 점유율 (%),1.1,oil
131,1995,칠레,- 점유율 (%),-,oil
132,1995,콜롬비아,- 점유율 (%),0.9,oil
133,1995,에콰도르,- 점유율 (%),0.6,oil
134,1995,페루,- 점유율 (%),0.2,oil
135,1995,트리니다드토바고,- 점유율 (%),0.2,oil
136,1995,베네수엘라,- 점유율 (%),4.7,oil
137,1995,오스트리아,- 점유율 (%),-,oil
138,1995,벨라루스,- 점유율 (%),-,oil
139,1995,벨기에,- 점유율 (%),-,oil
140,1995,불가리아,- 점유율 (%),-,oil
141,1995,크로아티아,- 점유율 (%),-,oil
142,1995,체코,- 점유율 (%),-,oil
143,1995,덴마크,- 점유율 (%),0.3,oil
144,1995,에스토니아,- 점유율 (%),-,oil
145,1995,핀란드,- 점유율 (%),-,oil
146,1995,프랑스,- 점유율 (%),-,oil
147,1995,독일,- 점유율 (%),-,oil
148,1995,그리스,- 점유율 (%),-,oil
149,1995,헝가리,- 점유율 (%),-,oil
150,1995,아이슬란드,- 점유율 (%),-,oil
151,1995,아일랜드,- 점유율 (%),-,oil
152,1995,이탈리아,- 점유율 (%),0.2,oil
153,1995,라트비아,- 점유율 (%),-,oil
154,1995,리투아니아,- 점유율 (%),-,oil
155,1995,룩셈부르크,- 점유율 (%),-,oil
156,1995,북마케도니아,- 점유율 (%),-,oil
157,1995,네덜란드,- 점유율 (%),-,oil
158,1995,노르웨이,- 점유율 (%),4.2,oil
159,1995,폴란드,- 점유율 (%),-,oil
160,1995,포르투갈,- 점유율 (%),-,oil
161,1995,루마니아,- 점유율 (%),0.2,oil
