,wti,uranium,coal,lng
1995-01-01,17.9759090909091,10.775,37.1,3.38
1995-02-01,18.542,11.15,37.6,3.54
1995-03-01,18.5404347826087,11.8,38.35,3.8
1995-04-01,19.764,11.85,37.1,3.82
1995-05-01,19.6934782608696,11.9,38.77,3.71
1995-06-01,18.4163636363636,11.7,40.77,3.85
1995-07-01,17.3190476190476,11.7,41.05,3.62
1995-08-01,18.0321739130435,11.7,40.88,3.32
1995-09-01,18.2157142857143,11.85,40.93,3.35
1995-10-01,17.4436363636364,11.85,40.97,3.43
1995-11-01,17.9795454545454,11.85,39.59,3.41
1995-12-01,19.0457142857143,11.85,39.35,3.45
1996-01-01,18.9008695652174,12.2,39.37,3.59
1996-02-01,19.0795238095238,15.75,39.28,3.81
1996-03-01,21.3338095238095,15.75,39.01,3.76
1996-04-01,23.5318181818182,15.9875,39.33,3.82
1996-05-01,21.2669565217391,16.3833333333333,38.2,3.82
1996-06-01,20.439,16.5,38.2,3.79
1996-07-01,21.3091304347826,16.5,38.4,3.79
1996-08-01,21.9277272727273,16.46,38.35,3.87
1996-09-01,23.91,16.15,38.1,3.81
1996-10-01,24.9008695652174,15.74,37.6,4.04
1996-11-01,23.7066666666667,15.07,35.7,4.41
1996-12-01,25.5163636363636,14.7625,35.35,4.32
1997-01-01,25.1986956521739,14.4875,35.23,4.29
1997-02-01,22.217,13.81,34.6,4.4
1997-03-01,20.9719047619048,13.62,34.5,4.11
1997-04-01,19.7154545454545,12.825,35.4,3.72
1997-05-01,20.8545454545454,11.8277777777778,35.73,3.73
1997-06-01,19.1557142857143,10.9444444444444,34.5,3.66
1997-07-01,19.625652173913,10.485,35.0,3.5
1997-08-01,19.9271428571429,10.3944444444444,36.93,3.43
1997-09-01,19.7822727272727,10.25,37.15,3.5
1997-10-01,21.2639130434783,11.28,37.15,3.5
1997-11-01,20.07,12.75,33.6,3.63
1997-12-01,18.3095652173913,12.5,31.4,3.66
1998-01-01,16.7468181818182,12.0375,31.4,3.46
1998-02-01,16.061,11.375,33.44,2.98
1998-03-01,15.0204545454545,10.6625,31.88,2.81
1998-04-01,15.2527272727273,10.75,31.18,2.61
1998-05-01,14.8471428571429,10.75,30.28,2.67
1998-06-01,13.6595454545455,10.75,30.0,2.66
1998-07-01,14.0978260869565,10.6111111111111,30.0,2.57
1998-08-01,13.3628571428571,10.5,26.2,2.57
1998-09-01,14.9309090909091,10.2333333333333,27.09,2.65
1998-10-01,14.3877272727273,9.60555555555556,27.1,2.76
1998-11-01,12.7804761904762,8.88333333333333,26.1,2.67
1998-12-01,11.2669565217391,8.4875,26.1,2.64
1999-01-01,12.4357142857143,9.0125,26.1,2.64
1999-02-01,12.004,9.2,26.1,2.57
1999-03-01,14.6608695652174,10.43571429,26.1,2.61
1999-04-01,17.3109090909091,10.85,26.1,2.68
1999-05-01,17.7433333333333,10.725,26.1,3.02
1999-06-01,17.8890909090909,10.55555556,26.1,3.19
1999-07-01,20.0545454545455,10.2625,26.1,3.23
1999-08-01,21.2572727272727,10.11428571,26.1,3.52
1999-09-01,23.7972727272727,9.91666667,26.1,3.83
1999-10-01,22.5904761904762,9.76111111,25.6,4.14
1999-11-01,25.0768181818182,9.7125,25.1,4.25
1999-12-01,26.0426086956522,9.6375,25.1,4.43
2000-01-01,27.2242857142857,9.55,25.1,4.54
2000-02-01,29.3623809523809,9.39375,25.1,4.58
2000-03-01,29.8921739130435,9.31,25.1,4.95
2000-04-01,25.799,9.14285714,25.1,5.08
2000-05-01,28.8334782608696,8.5,25.6,4.58
2000-06-01,31.8590909090909,8.23125,25.6,5.14
2000-07-01,29.9838095238095,8.1,25.6,5.38
2000-08-01,31.2186956521739,7.95714286,25.6,5.51
2000-09-01,33.86,7.56666667,27.15,5.56
2000-10-01,33.075,7.4,27.15,5.92
2000-11-01,34.555,7.12777778,27.15,5.86
2000-12-01,28.3880952380952,7.13571429,30.75,5.72
2001-01-01,29.4821739130435,7.1,32.1,4.98
2001-02-01,29.5835,7.3875,32.1,4.66
2001-03-01,27.2413636363636,7.69444444,32.6,4.85
2001-04-01,27.4538095238095,8.22857143,33.5,4.79
2001-05-01,28.6104347826087,9.0,33.8,4.95
2001-06-01,27.6009523809524,8.77777778,33.9,5.11
2001-07-01,26.4359090909091,8.75,34.0,5.05
2001-08-01,27.4678260869565,8.95,33.8,4.73
2001-09-01,26.211,9.15,32.8,4.63
2001-10-01,22.2104347826087,9.46666667,32.4,4.65
2001-11-01,19.5840909090909,9.43333333,29.4,3.95
2001-12-01,19.317619047619,9.5,27.35,3.68
2002-01-01,19.6073913043478,9.5875,29.1,3.57
2002-02-01,20.7755,9.71875,29.85,3.64
2002-03-01,24.5080952380952,9.95,29.55,3.69
2002-04-01,26.2663636363636,9.75,28.84,4.07
2002-05-01,27.0039130434783,9.9,28.63,4.44
2002-06-01,25.521,9.9,26.65,4.53
2002-07-01,26.93,9.89375,24.9,5.76
2002-08-01,28.3813636363636,9.85,24.0,4.52
2002-09-01,29.6328571428571,9.79761904761905,24.45,4.63
2002-10-01,28.8539130434783,9.84130434782609,26.25,4.76
2002-11-01,26.3247619047619,9.86428571428571,26.25,4.8
2002-12-01,29.5486363636364,9.88181818181818,26.25,4.71
2003-01-01,32.9117391304348,10.1565217391304,26.6785714285714,5.01
2003-02-01,35.915,10.1,26.9464285714286,5.31
2003-03-01,33.2190476190476,10.1,26.1428571428571,5.44
2003-04-01,28.3577272727273,10.1,25.125,5.18
2003-05-01,28.2236363636364,10.8954545454545,24.9642857142857,4.87
2003-06-01,30.7247619047619,10.9,25.8214285714286,4.7
2003-07-01,30.7473913043478,10.9521739130435,26.0892857142857,4.67
2003-08-01,31.5919047619048,11.2375,27.1339285714286,4.75
2003-09-01,28.4513636363636,11.4928571428571,28.6071428571429,4.93
2003-10-01,30.3308695652174,12.3722222222222,29.4642857142857,4.82
2003-11-01,30.9625,13.175,32.0491071428571,5.05
2003-12-01,32.204347826087,13.35,36.4285714285714,5.04
2004-01-01,34.1463636363636,14.8,40.4464285714286,5.14
2004-02-01,34.722,16.05,44.7321428571429,5.2
2004-03-01,36.7608695652174,17.1388888888889,52.4330357142857,5.29
2004-04-01,36.7190909090909,17.75,57.0535714285714,5.5
2004-05-01,40.2728571428571,17.75,60.46875,5.47
2004-06-01,38.0413636363636,17.88125,63.8035714285714,5.88
2004-07-01,40.685,17.9,65.7589285714286,5.73
2004-08-01,44.9359090909091,17.9,63.4821428571429,5.9
2004-09-01,45.8609090909091,18.6,59.3303571428571,6.44
2004-10-01,53.1671428571428,20.08,60.6696428571429,6.66
2004-11-01,48.5322727272727,20.2,56.5982142857143,6.94
2004-12-01,43.2791304347826,20.5,55.9821428571429,6.54
2005-01-01,46.9919047619048,20.5357142857143,56.8339285714286,5.82
2005-02-01,47.9905,21.2,53.4616071428571,6.1
2005-03-01,54.0930434782609,21.8444444444444,54.5625,6.46
2005-04-01,53.0366666666667,23.1444444444444,54.9107142857143,7.04
2005-05-01,49.9222727272727,28.25,54.9776785714286,7.22
2005-06-01,56.3054545454546,29.0,54.6428571428571,6.55
2005-07-01,58.7057142857143,29.2777777777778,54.5357142857143,7.06
2005-08-01,64.9682608695652,29.65,50.6907467532467,7.22
2005-09-01,65.6577272727273,30.43125,48.3214285714286,7.71
2005-10-01,62.3704761904762,32.75,44.5280612244898,8.01
2005-11-01,58.3113636363636,33.5555555555556,40.6412337662338,8.11
2005-12-01,59.3663636363636,35.53125,41.6892857142857,7.09
2006-01-01,65.2327272727273,36.75,45.6428571428572,7.34
2006-02-01,61.544,37.6875,50.9196428571429,7.89
2006-03-01,62.8995652173913,39.77,53.2127329192547,7.91
2006-04-01,69.6735,41.1,56.4702380952381,7.81
2006-05-01,70.9591304347826,42.2777777777778,56.7219387755102,8.56
2006-06-01,70.9577272727273,44.1666666666667,54.9107142857143,8.64
2006-07-01,74.3614285714286,46.5,56.9540816326531,8.51
2006-08-01,73.0486956521739,47.4444444444445,55.6339285714286,8.37
2006-09-01,64.1190476190476,52.4444444444444,51.8877551020408,8.83
2006-10-01,58.8781818181818,56.0625,47.6907467532468,7.94
2006-11-01,59.2890909090909,61.4444444444444,48.2142857142857,7.5
2006-12-01,62.0285714285714,66.5714285714286,54.5103383458647,7.29
2007-01-01,54.78,72.0,55.762987012987,7.66
2007-02-01,59.2695,76.25,56.00625,7.17
2007-03-01,60.5640909090909,89.4444444444445,56.924512987013,7.36
2007-04-01,63.9747619047619,110.428571428571,58.0516917293233,7.72
2007-05-01,63.5134782608696,119.111111111111,58.4566326530612,8.21
2007-06-01,67.4785714285714,136.222222222222,63.1505102040817,8.48
2007-07-01,74.0463636363636,131.5,72.7938311688312,8.22
2007-08-01,72.3921739130435,109.6,74.8344155844156,8.61
2007-09-01,79.633,85.0,73.5535714285715,8.55
2007-10-01,85.9265217391304,77.5,79.5093167701863,9.16
2007-11-01,94.7663636363636,92.0,93.1168831168831,9.52
