,국가별,연도,value
0,대한민국,1995,-
1,아프가니스탄,1995,-
2,아르메니아,1995,3.1
3,아제르바이잔,1995,8.5
4,바레인,1995,12.5
5,방글라데시,1995,66
6,부탄,1995,0.6
7,브루나이,1995,10.6
8,캄보디아,1995,4.1
9,중국,1995,1831.4
10,키프로스,1995,12.7
11,동티모르,1995,0.7
12,조지아,1995,4.8
13,홍콩,1995,157.7
14,인도,1995,596.1
15,인도네시아,1995,380.9
16,이란,1995,216.7
17,이라크,1995,40.8
18,이스라엘,1995,143.5
19,일본,1995,3785.6
20,요르단,1995,15.7
21,카자흐스탄,1995,58.5
22,쿠웨이트,1995,55.8
23,키르기스스탄,1995,2.7
24,라오스,1995,3.7
25,레바논,1995,22
26,마카오,1995,14
27,말레이시아,1995,117.3
28,몰디브,1995,1.4
29,몽골,1995,3.3
30,미얀마,1995,9
31,네팔,1995,10.6
32,오만,1995,39
33,파키스탄,1995,138.5
34,필리핀,1995,119.5
35,카타르,1995,19.8
36,사우디아라비아,1995,340.3
37,싱가포르,1995,107.1
38,스리랑카,1995,29.5
39,시리아,1995,17.4
40,타지키스탄,1995,2.7
41,태국,1995,213.6
42,튀르키예,1995,338.2
43,투르크메니스탄,1995,8.3
44,아랍에미리트,1995,153
45,우즈베키스탄,1995,26
46,베트남,1995,66.8
47,예멘,1995,32.3
48,버뮤다,1995,5.3
49,캐나다,1995,955.1
50,그린란드,1995,1.5
51,멕시코,1995,724.2
52,미국,1995,11106.7
53,앤티가바부다,1995,0.9
54,아르헨티나,1995,348.4
55,아루바,1995,2.3
56,바하마,1995,8.5
57,바베이도스,1995,3.7
58,벨리즈,1995,1
59,볼리비아,1995,14.6
60,브라질,1995,1066.9
61,케이맨제도,1995,-
62,칠레,1995,104.9
63,콜롬비아,1995,150
64,코스타리카,1995,24.5
65,쿠바,1995,36.6
66,도미니카연방,1995,0.4
67,도미니카공화국,1995,26.1
68,에콰도르,1995,47.5
69,엘살바도르,1995,16
70,그레나다,1995,0.5
71,과테말라,1995,30.5
72,가이아나,1995,2.5
73,아이티,1995,9.8
74,온두라스,1995,10
75,자메이카,1995,13.1
76,니카라과,1995,5.7
77,파나마,1995,16.6
78,파라과이,1995,20.4
79,페루,1995,76.9
80,푸에르토리코,1995,80.8
81,세인트키츠네비스,1995,0.5
82,세인트루시아,1995,1.3
83,세인트빈센트그레나딘,1995,0.5
84,수리남,1995,2.7
85,트리니다드토바고,1995,9.2
86,터크스케이커스제도,1995,-
87,미국령버진아일랜드,1995,-
88,우루과이,1995,31.3
89,알바니아,1995,4.7
90,안도라,1995,1.8
91,오스트리아,1995,268.6
92,벨라루스,1995,19.2
93,벨기에,1995,317.6
94,보스니아-헤르체고비나,1995,3.8
95,불가리아,1995,33.8
96,크로아티아,1995,33.8
97,체코,1995,115.9
98,덴마크,1995,226.7
99,에스토니아,1995,10.3
100,페로제도,1995,-
101,핀란드,1995,152.8
102,프랑스,1995,1771.1
103,독일,1995,2583.3
104,그리스,1995,168.4
105,헝가리,1995,79.3
106,아이슬란드,1995,9.1
107,아일랜드,1995,101.7
108,맨섬,1995,2.2
109,이탈리아,1995,1663.6
110,코소보,1995,-
111,라트비아,1995,12.4
112,리히텐슈타인,1995,-
113,리투아니아,1995,17.9
114,룩셈부르크,1995,30.6
115,북마케도니아,1995,5.7
116,몰타,1995,4.7
117,몰도바,1995,4.5
118,모나코,1995,3.4
119,네덜란드,1995,520.9
120,노르웨이,1995,254.5
121,폴란드,1995,217.2
122,포르투갈,1995,158.3
123,루마니아,1995,103.7
124,러시아,1995,721.5
125,산마리노,1995,-
126,슬로바키아,1995,40.4
127,슬로베니아,1995,26.4
128,스페인,1995,794.6
129,스웨덴,1995,305.8
130,스위스,1995,473.6
131,우크라이나,1995,77.2
132,영국,1995,1915.2
133,몬테네그로,1995,-
134,세르비아,1995,21.2
135,알제리,1995,92.7
136,앙골라,1995,23.3
137,베냉,1995,4.9
138,보츠와나,1995,6.6
139,부르키나파소,1995,3.7
140,부룬디,1995,2.1
141,카메룬,1995,13.9
142,카보베르데,1995,0.5
143,중앙아프리카공화국,1995,1.6
144,차드,1995,2.8
145,코모로,1995,0.5
146,콩고,1995,5.8
147,콩고민주공화국,1995,20.2
148,코트디부아르,1995,24.5
149,지부티,1995,-
150,이집트,1995,136.2
151,적도기니,1995,0.4
152,에리트레아,1995,1.6
153,에티오피아,1995,13.9
154,가봉,1995,9.6
155,감비아,1995,0.8
156,가나,1995,16.2
157,기니,1995,4.3
158,기니비사우,1995,0.6
159,케냐,1995,32.9
160,레소토,1995,1.3
161,라이베리아,1995,0.5
162,리비아,1995,53.2
163,마다가스카르,1995,6.4
164,말라위,1995,3.9
165,말리,1995,4.9
166,모리타니,1995,3.3
167,모리셔스,1995,5.1
168,모로코,1995,45.4
169,모잠비크,1995,3.4
170,나미비아,1995,4.7
171,니제르,1995,4.1
172,나이지리아,1995,154.6
173,르완다,1995,1.7
174,상투메프린시페,1995,0.1
175,세네갈,1995,8.5
176,세이셸,1995,0.7
177,시에라리온,1995,1.8
178,소말리아,1995,2
179,남아프리카공화국,1995,193.2
180,남수단,1995,-
181,수단,1995,26.2
182,에스와티니,1995,2.2
183,탄자니아,1995,15
184,토고,1995,2.8
185,튀니지,1995,21.3
186,우간다,1995,9.1
187,잠비아,1995,6.7
188,짐바브웨,1995,17.7
189,미국령사모아,1995,-
190,오스트레일리아,1995,707.8
191,피지,1995,3
192,프랑스령폴리네시아,1995,5.1
193,괌,1995,-
194,키리바시,1995,0.1
195,마셜제도,1995,0.2
196,미크로네시아,1995,0.3
197,나우루,1995,0.1
198,뉴칼레도니아,1995,-
199,뉴질랜드,1995,102.9
200,북마리아나제도,1995,-
201,팔라우,1995,0.2
202,파푸아뉴기니,1995,11.1
203,사모아,1995,0.5
204,솔로몬제도,1995,0.9
205,통가,1995,0.3
206,투발루,1995,0
207,바누아투,1995,0.5
208,대한민국,1996,-
209,아프가니스탄,1996,-
210,아르메니아,1996,3.3
211,아제르바이잔,1996,8.6
212,바레인,1996,13
213,방글라데시,1996,68.9
214,부탄,1996,0.6
215,브루나이,1996,10.9
216,캄보디아,1996,4.4
217,중국,1996,2013.1
218,키프로스,1996,12.8
219,동티모르,1996,0.8
220,조지아,1996,5.3
221,홍콩,1996,164.4
222,인도,1996,641.1
223,인도네시아,1996,410.7
224,이란,1996,230.5
225,이라크,1996,45.3
226,이스라엘,1996,152
227,일본,1996,3904.3
228,요르단,1996,16
229,카자흐스탄,1996,58.8
230,쿠웨이트,1996,56.1
231,키르기스스탄,1996,2.9
232,라오스,1996,3.9
233,레바논,1996,24.4
234,마카오,1996,13.9
235,말레이시아,1996,129.1
236,몰디브,1996,1.5
237,몽골,1996,3.4
238,미얀마,1996,9.6
239,네팔,1996,11.2
240,오만,1996,40.2
241,파키스탄,1996,145.2
242,필리핀,1996,126.5
243,카타르,1996,20.7
244,사우디아라비아,1996,349.2
245,싱가포르,1996,115.1
246,스리랑카,1996,30.7
247,시리아,1996,19.1
248,타지키스탄,1996,2.2
249,태국,1996,225.7
250,튀르키예,1996,363.1
251,투르크메니스탄,1996,8.9
252,아랍에미리트,1996,161.9
253,우즈베키스탄,1996,26.5
254,베트남,1996,73.1
255,예멘,1996,33.8
256,버뮤다,1996,5.5
257,캐나다,1996,971.3
258,그린란드,1996,1.5
259,멕시코,1996,769.3
