date,year,quarter,month,total_manu,dol_idx,m2,unemploy,interest,ppi_total_manu,wti
1995-01-01,1995,1,1,279692,88.2,3492.4,5.6,5.5,122.6,18.0
1995-02-01,1995,1,2,284915,87.1,3489.9,5.4,5.9,123.1,18.6
1995-03-01,1995,1,3,282195,83.5,3491.1,5.4,6.0,123.4,18.5
1995-04-01,1995,2,4,283370,81.6,3499.2,5.8,6.0,124.1,19.9
1995-05-01,1995,2,5,282955,82.6,3524.2,5.6,6.0,124.5,19.7
1995-06-01,1995,2,6,281900,82.1,3548.9,5.6,6.0,124.4,18.5
1995-07-01,1995,3,7,281269,81.7,3567.4,5.7,5.9,124.4,17.3
1995-08-01,1995,3,8,285979,84.5,3589,5.7,5.7,124.4,18.0
1995-09-01,1995,3,9,293326,85.6,3602.1,5.6,5.8,124.3,18.2
1995-10-01,1995,4,10,287568,83.9,3613.4,5.5,5.8,125.1,17.4
1995-11-01,1995,4,11,287704,84.0,3619.9,5.6,5.8,125.1,18.0
1995-12-01,1995,4,12,297684,84.9,3629.5,5.6,5.6,125.3,19.0
1996-01-01,1996,1,1,285822,86.0,3647.9,5.6,5.6,125.8,18.9
1996-02-01,1996,1,2,277940,86.2,3661.8,5.5,5.2,125.7,19.1
1996-03-01,1996,1,3,298862,86.4,3686.9,5.5,5.3,126,21.3
1996-04-01,1996,2,4,290320,87.4,3697.7,5.6,5.2,126.8,23.5
1996-05-01,1996,2,5,298700,88.2,3709.6,5.6,5.2,127.4,21.2
1996-06-01,1996,2,6,299606,88.0,3722.5,5.3,5.3,127.1,20.4
1996-07-01,1996,3,7,298909,87.1,3737.1,5.5,5.4,127.1,21.3
1996-08-01,1996,3,8,293231,86.4,3744,5.1,5.2,127.4,21.9
1996-09-01,1996,3,9,302015,87.3,3753.4,5.2,5.3,127.5,24.0
1996-10-01,1996,4,10,301595,87.9,3772.8,5.2,5.2,128.2,24.9
1996-11-01,1996,4,11,309537,86.9,3795.1,5.4,5.3,128,23.7
1996-12-01,1996,4,12,300179,88.6,3818.6,5.4,5.3,128,25.2
1997-01-01,1997,1,1,300765,90.8,3834.6,5.3,5.3,128.1,25.1
1997-02-01,1997,1,2,310604,94.4,3846.3,5.2,5.2,127.9,22.2
1997-03-01,1997,1,3,307465,95.5,3861.2,5.2,5.4,127.8,21.0
1997-04-01,1997,2,4,313694,96.3,3877,5.1,5.5,127.7,19.7
1997-05-01,1997,2,5,308733,95.1,3889.2,4.9,5.5,127.6,20.8
1997-06-01,1997,2,6,315090,95.3,3906,5,5.6,127.2,19.3
1997-07-01,1997,3,7,318485,97.4,3923.9,4.9,5.5,126.9,19.7
1997-08-01,1997,3,8,319106,99.9,3957.4,4.8,5.5,127.4,20.0
1997-09-01,1997,3,9,318687,98.2,3973.1,4.9,5.5,127.3,19.8
1997-10-01,1997,4,10,319565,96.9,3992.3,4.7,5.5,127.6,21.3
1997-11-01,1997,4,11,334896,96.3,4014.8,4.6,5.5,127.5,20.2
1997-12-01,1997,4,12,315121,98.7,4032.9,4.7,5.5,127,18.3
1998-01-01,1998,1,1,315893,100.4,4056.2,4.6,5.6,126.4,16.7
1998-02-01,1998,1,2,322715,99.8,4088.9,4.6,5.5,126.1,16.1
1998-03-01,1998,1,3,317454,100.4,4114.3,4.7,5.5,125.9,15.1
1998-04-01,1998,2,4,320388,100.2,4140.2,4.3,5.4,126.2,15.4
1998-05-01,1998,2,5,320787,99.5,4164.4,4.4,5.5,126.4,14.9
1998-06-01,1998,2,6,311219,100.8,4184.1,4.5,5.6,126.2,13.7
1998-07-01,1998,3,7,308769,101.3,4203.8,4.5,5.5,126.2,14.2
1998-08-01,1998,3,8,318026,101.7,4228.7,4.5,5.5,126,13.5
1998-09-01,1998,3,9,319546,97.1,4267.7,4.6,5.5,125.9,15.0
1998-10-01,1998,4,10,315959,93.6,4307.9,4.5,5.1,126.4,14.5
1998-11-01,1998,4,11,319291,95.4,4346.6,4.4,4.8,126.2,13.0
1998-12-01,1998,4,12,315467,94.5,4375.6,4.4,4.7,125.9,11.4
1999-01-01,1999,1,1,324278,94.6,4403,4.3,4.6,126.2,12.5
1999-02-01,1999,1,2,324617,97.1,4425.8,4.4,4.8,125.9,12.0
1999-03-01,1999,1,3,322604,99.4,4432.6,4.2,4.8,126.3,14.7
1999-04-01,1999,2,4,321414,100.5,4461.4,4.3,4.7,127.4,17.3
1999-05-01,1999,2,5,325581,100.9,4486.1,4.2,4.7,127.7,17.7
1999-06-01,1999,2,6,323793,102.5,4508,4.3,4.8,127.8,17.9
1999-07-01,1999,3,7,330548,102.7,4535.4,4.3,5.0,128.3,20.1
1999-08-01,1999,3,8,332510,100.3,4552.7,4.2,5.1,129,21.3
1999-09-01,1999,3,9,333492,99.8,4568.8,4.2,5.2,129.7,23.8
1999-10-01,1999,4,10,341407,98.2,4592.7,4.1,5.2,130.2,22.7
1999-11-01,1999,4,11,334281,100.6,4611.8,4.1,5.4,130.3,25.0
1999-12-01,1999,4,12,344248,101.8,4639.3,4,5.3,130.5,26.1
2000-01-01,2000,1,1,350725,101.7,4667.6,4,5.4,130.8,27.3
2000-02-01,2000,1,2,331991,104.4,4680.9,4.1,5.7,132.2,29.4
2000-03-01,2000,1,3,344182,105.5,4711.7,4,5.9,132.9,29.8
2000-04-01,2000,2,4,347917,106.8,4767.8,3.8,6.0,132.6,25.7
2000-05-01,2000,2,5,340085,110.8,4755.7,4,6.3,133.1,28.8
2000-06-01,2000,2,6,374700,107.1,4773.6,4,6.5,134.2,31.8
2000-07-01,2000,3,7,343351,108.3,4791.3,4,6.5,133.9,29.7
2000-08-01,2000,3,8,340728,111.2,4819.5,4.1,6.5,133.5,31.3
2000-09-01,2000,3,9,354557,114.4,4855.3,3.9,6.5,134.7,33.9
2000-10-01,2000,4,10,339610,116.1,4871.4,3.9,6.5,134.9,33.1
2000-11-01,2000,4,11,343578,116.5,4882.8,3.9,6.5,134.9,34.4
2000-12-01,2000,4,12,343858,112.7,4927.7,3.9,6.4,134.3,28.4
2001-01-01,2001,1,1,331600,110.1,4978.4,4.2,6.0,134.8,29.6
2001-02-01,2001,1,2,335205,111.8,5017.1,4.2,5.5,134.8,29.6
2001-03-01,2001,1,3,333486,113.9,5074.9,4.3,5.3,134.5,27.2
2001-04-01,2001,2,4,321890,115.5,5139.2,4.4,4.8,135.6,27.5
2001-05-01,2001,2,5,329643,116.8,5137.3,4.3,4.2,136.5,28.6
2001-06-01,2001,2,6,324044,118.9,5180.3,4.5,4.0,135.8,27.6
2001-07-01,2001,3,7,318401,118.4,5210.2,4.6,3.8,134.4,26.4
2001-08-01,2001,3,8,321838,114.4,5243.9,4.9,3.7,134.6,27.4
2001-09-01,2001,3,9,311821,113.3,5355.3,5,3.1,135.6,26.2
2001-10-01,2001,4,10,318537,114.2,5344,5.3,2.5,133.7,22.2
2001-11-01,2001,4,11,310008,116.0,5387.7,5.5,2.1,132.7,19.6
2001-12-01,2001,4,12,311731,116.2,5440.7,5.7,1.8,131.6,19.4
2002-01-01,2002,1,1,308617,117.8,5461.1,5.7,1.7,131.7,19.7
2002-02-01,2002,1,2,317481,119.0,5490.4,5.7,1.7,132,20.7
2002-03-01,2002,1,3,315160,117.9,5502.2,5.7,1.7,132.8,24.5
2002-04-01,2002,2,4,319110,116.9,5502.3,5.9,1.8,133.8,26.2
2002-05-01,2002,2,5,321471,113.4,5528.5,5.8,1.8,133.5,27.0
2002-06-01,2002,2,6,316320,109.7,5553.5,5.8,1.8,133.6,25.5
2002-07-01,2002,3,7,320937,106.0,5596.2,5.8,1.7,133.6,27.0
2002-08-01,2002,3,8,326896,107.4,5638.4,5.7,1.7,133.7,28.4
2002-09-01,2002,3,9,319466,107.3,5662.5,5.7,1.8,135,29.7
2002-10-01,2002,4,10,320658,107.5,5707.2,5.7,1.8,135.6,28.8
2002-11-01,2002,4,11,322463,105.7,5758.2,5.9,1.3,134.6,26.4
