Date,Date,Assets under management (four largest public U.S. commodity funds),Dow Jones UBS Commodity Index
1Q 2006,2006,51.98,1.91
2Q 2006,2006,36.03,13.31
3Q 2006,2006,10.94,-10.26
4Q 2006,2006,15.76,-2.71
1Q 2007,2007,18.62,4.1
2Q 2007,2007,15.88,-2.06
3Q 2007,2007,19.33,11.44
4Q 2007,2007,21.9,11.08
1Q 2008,2008,40.3,17.23
2Q 2008,2008,59.73,37.34
3Q 2008,2008,0.34,-5.88
4Q 2008,2008,-46.11,-36.61
1Q 2009,2009,-47.74,-45.54
2Q 2009,2009,-30.69,-47.42
3Q 2009,2009,28.66,-23.9
4Q 2009,2009,171.51,18.72
1Q 2010,2010,144.93,20.38
2Q 2010,2010,54.47,2.62
3Q 2010,2010,41.95,9.88
4Q 2010,2010,43.02,16.67
1Q 2011,2011,62.9,28.31
2Q 2011,2011,55.55,25.76
3Q 2011,2011,26.34,-0.07
4Q 2011,2011,-1.79,-13.37
1Q 2012,2012,-15.99,-16.31
2Q 2012,2012,-17.34,-14.36
3Q 2012,2012,0.59,5.92
4Q 2012,2012,-5.25,-1.14
1Q 2013,2013,-3.93,-3.12
2Q 2013,2013,-9.97,-8.09
3Q 2013,2013,-17.47,-14.41
4Q 2013,2013,-21.73,-9.58
1Q 2014,2014,-21.65,-2.15
2Q 2014,2014,-7.26,8.16
3Q 2014,2014,-16.38,-6.62
4Q 2014,2014,-19.21,-17.04
1Q 2015,2015,-27.22,-27.06
2Q 2015,2015,-25.73,-23.72
3Q 2015,2015,-34.19,-26.01
4Q 2015,2015,-42.77,-24.7
1Q 2016,2016,-39.2,-19.66
2Q 2016,2016,-30.38,-13.48
3Q 2016,2016,-16.26,-2.82
4Q 2016,2016,17.35,11.4
1Q 2017,2017,12.02,8.28
2Q 2017,2017,-12.37,-7.02
3Q 2017,2017,-10.56,-1.03
4Q 2017,2017,-10.83,0.75
1Q 2018,2018,3.84,2.49
2Q 2018,2018,13.98,5.82
3Q 2018,2018,1.8,0.88
4Q 2018,2018,-19.33,-12.99
1Q 2019,2019,-27.06,-7.3
2Q 2019,2019,-34.94,-8.87
3Q 2019,2019,-39.78,-8.71
4Q 2019,2019,-28.24,5.44
1Q 2020,2020,-56.02,-23.71
2Q 2020,2020,-44.85,-18.43
3Q 2020,2020,-22.33,-8.91
4Q 2020,2020,-8.83,-3.5
1Q 2021,2021,93.95,34.9
2Q 2021,2021,109.64,45.5
3Q 2021,2021,110.56,42.21
4Q 2021,2021,92.98,27.05
1Q 2022,2022,104.19,49.09
2Q 2022,2022,53.97,23.81
3Q 2022,2022,13.76,10.65
4Q 2022,2022,-6.3,13.75
1Q 2023,2023,-40.9,-15.19
