year,quater,Inventory Change,Spread Change,World Consumption Change,World GDP Change,Assets under management (four largest public U.S. commodity funds),Dow Jones UBS Commodity Index,Open Interest,non-OECD Consumption Growth,non-OECD GDP growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Spare Capacity,Saudi Production Change,WTI Production Change,Capacity percent change,WTI Real Price (GDP Deflated),Producers/Merchants long,Producers/Merchants short,Producers/Merchants net,Money Managers Long,Money Managers Short,Money Managers Net,Opec Disruption,Non-OPEC Disruption
2002,Q1,,,-0.14,2.19,,,465.431,1.9,1.94,0.99,-1.33,7.03,-1.17,-24.76,1.07,34.06,,,,,,,,
2002,Q2,,,0.63,2.71,,,492.333,2.21,2.49,1.75,-0.35,7.61,-0.53,-5.93,2.03,41.18,,,,,,,,
2002,Q3,,,1.48,3.26,,,470.571,3.57,3.11,0.92,0.23,6.75,-0.27,5.97,0.98,44.16,,,,,,,,
2002,Q4,,,2.52,3.33,,,521.515,3.52,3.34,0.8,1.91,5.35,0.37,38.09,0,43.86,,,,,,,,
2003,Q1,,,2.71,3.24,,,604.3,3.02,3.24,1.04,2.53,2.04,1.62,57.3,-3.22,52.54,,,,,,,,
2003,Q2,,,1.54,3.05,,,489.604,1.13,3.05,0.28,1.79,1.38,1.69,10.32,-5.15,44.57,,,,,,,,
2003,Q3,,,1.96,3.65,,,522.785,4.02,3.65,1.31,0.68,2.22,0.75,6.8,-2.67,46.22,,,,,,,,
2003,Q4,,,2.11,4.54,,,554.566,4.14,4.54,1.72,0.87,1.99,0.52,10.32,-0.14,47.41,,,,,,,,
2004,Q1,,,3.02,5.07,,,659.581,6.15,5.07,1.39,1.12,1.87,-0.3,3.78,3.81,53.33,,,,,,,,
2004,Q2,,,4.76,5.47,,,705.539,9.65,5.47,1.84,1.66,1.67,-0.36,32.21,5.37,57.38,,,,,,,,
2004,Q3,,,4.24,5.13,,,695.279,7.41,5.13,1.01,2.22,0.7,0.98,45.06,3.15,65.24,,,,,,,,
2004,Q4,,,3.77,4.58,,,698.539,6.81,4.58,0.65,1.86,0.68,0.97,54.39,1.37,71.09,,,,,,,,
2005,Q1,,,2.93,4.54,,,762.708,5.06,4.54,0.24,1.56,1.09,0.9,41.24,1.17,73.12,,,,,,,,
2005,Q2,,,1.94,4.52,,,806.082,2.92,4.52,0.68,1.26,1.04,0.8,38.61,2.04,77.26,,,,,,,,
2005,Q3,,,1.43,4.6,,,866.112,2.75,4.6,-0.07,0.54,0.94,0.1,44.41,1.12,91.24,,,,,,,,
2005,Q4,,,-0.4,4.95,,,840.483,-0.29,4.95,-0.47,-0.47,0.98,0,24.61,0.43,85.77,,,,,,,,
2006,Q1,49.29,3.03,0.72,5.29,51.98,1.91,929.464,2.41,5.29,0.13,-0.39,1.12,-0.09,26.86,-0.04,89.88,,,,,,,,
2006,Q2,39.48,-0.16,0.83,5.24,36.03,13.31,1025.516,2.85,5.24,-0.25,-0.56,1.36,-0.38,32.68,-0.57,99.17,,,,,,,,
2006,Q3,135.31,5.4,1.51,5.1,10.94,-10.26,1138.689,4.2,5.1,1.34,-0.33,1.35,-0.4,11.42,1.43,98.56,,,,,,,,
2006,Q4,80.31,2.93,2.2,5.31,15.76,-2.71,1181.559,5.83,5.31,1.11,-0.21,1.95,-0.72,-0.1,1.28,83.42,,,,,,,,
2007,Q1,-2.94,0.89,1.31,5.2,18.62,4.1,1293.24,5.39,5.2,0.79,-1.46,2.3,-0.76,-8.25,0.96,80.03,,,,,,,,
2007,Q2,-3.7,-0.54,2.35,5.39,15.88,-2.06,1384.608,5.37,5.39,0.94,0.18,2.29,-0.62,-7.8,1.07,88.96,,,,,,,,
2007,Q3,-129.83,-11.99,1.75,5.33,19.33,11.44,1494.831,4.46,5.33,0.1,-0.19,2.07,-0.54,6.64,-0.14,102.57,,,,,,,,
2007,Q4,-113.19,-11.4,2.37,5.18,21.9,11.08,1422.969,5.57,5.18,0.59,0.12,1.62,0.18,51.15,0.67,122.93,,,,,,,,
2008,Q1,-34.77,-8.84,0.74,4.59,40.3,17.23,1402.298,4.3,4.59,0.39,-1.85,1.51,0.55,68.5,1.11,132.22,212.2866667,-334.7666667,-122.48,167.2966667,-91.69333333,75.60333333,,
2008,Q2,-67.35,-0.85,0.85,3.94,59.73,37.34,1381.138,4.7,3.94,0.26,-2.05,1.41,0.72,90.52,0.93,166.64,207.9366667,-271.4233333,-63.48666667,171.09,-87.81666667,83.27666667,,
2008,Q3,-2.9,8.56,-0.87,2.74,0.34,-5.88,1225.45,4.49,2.74,0.06,-4.88,1.16,0.9,57.25,0.78,158.02,119.65,-222.4566667,-102.8033333,123.3766667,-77.22,46.16,,
2008,Q4,112.01,20.35,-3.36,0.16,-46.11,-36.61,1124.539,-0.41,0.16,0.01,-5.56,1.95,-0.02,-35.22,0.39,78.26,137.1866667,-262.5566667,-125.37,103.6166667,-97.13333333,6.483333333,,
2009,Q1,169.19,15.65,-3.25,-2.25,-47.74,-45.54,1214.524,-1.35,-2.25,0.13,-4.7,3.76,-1.13,-55.91,0.3,57.52,155.62,-346.66,-191.0433333,134.15,-98.98333333,35.16333333,,
2009,Q2,152.23,4.38,-2.14,-1.98,-30.69,-47.42,1168.246,2.38,-1.98,0.38,-5.79,3.86,-1.19,-51.84,0.81,79.58,131.8966667,-336.1733333,-204.2766667,130.13,-71.51666667,58.61,,
2009,Q3,120.7,2.24,-0.01,-0.61,28.66,-23.9,1173.816,4.1,-0.61,1.35,-3.4,4.35,-1.17,-42.45,2.75,90.83,124.6966667,-311.02,-186.3266667,142.3066667,-78.13,64.17333333,,
2009,Q4,-37.73,-9.83,1.61,1.93,171.51,18.72,1215.004,7.02,1.93,1.38,-2.63,4.85,-0.68,29.51,3.63,101.03,140.28,-368.4833333,-228.2033333,178.4866667,-43.12666667,135.3566667,,
2010,Q1,-67.73,-8.79,2.28,4.82,144.93,20.38,1312.362,6.65,4.82,1.84,-1.21,5.19,0.07,82.68,4.19,104.5,164.6933333,-400.8466667,-236.1533333,190.6633333,-45.62,145.0466667,0.233333333,0
2010,Q2,-3.26,-1.25,3.23,5.41,54.47,2.62,1365.001,4.91,5.41,2.08,1.75,5.45,0.03,30.55,4.5,102.71,193.6133333,-410.7266667,-217.1166667,183.25,-84.25,99.00333333,0.283333333,0
2010,Q3,-34,0.89,3.63,5.23,41.95,9.88,1284.169,3.65,5.23,1.63,3.62,5.33,-0.22,11.74,2.9,100.04,147.0533333,-340.8333333,-193.7833333,187.3333333,-91.89333333,95.44666667,0.193333333,0
2010,Q4,14.26,-2.03,3.72,5.05,43.02,16.67,1404.16,5.98,5.05,1.55,1.78,5.29,-0.05,12.14,2.2,111.44,215.11,-370.0266667,-154.9166667,238.5366667,-65.08666667,173.45,0.133333333,0
2011,Q1,-36.13,-1.32,2.05,4.77,62.9,28.31,1529.703,4.12,4.77,0.7,0.26,4.46,0.75,19.36,0.63,122.41,239.4133333,-437.5233333,-198.1066667,253.3233333,-45.56666667,207.7566667,0.603333333,0.32
