Date,Date,non-OECD Consumption Growth,non-OECD GDP growth
1Q 2001,2001,2,3.27
2Q 2001,2001,4.27,2.47
3Q 2001,2001,0.63,1.95
4Q 2001,2001,2.59,1.69
1Q 2002,2002,1.9,1.94
2Q 2002,2002,2.21,2.49
3Q 2002,2002,3.57,3.11
4Q 2002,2002,3.52,3.34
1Q 2003,2003,3.02,3.24
2Q 2003,2003,1.13,3.05
3Q 2003,2003,4.02,3.65
4Q 2003,2003,4.14,4.54
1Q 2004,2004,6.15,5.07
2Q 2004,2004,9.65,5.47
3Q 2004,2004,7.41,5.13
4Q 2004,2004,6.81,4.58
1Q 2005,2005,5.06,4.54
2Q 2005,2005,2.92,4.52
3Q 2005,2005,2.75,4.6
4Q 2005,2005,-0.29,4.95
1Q 2006,2006,2.41,5.29
2Q 2006,2006,2.85,5.24
3Q 2006,2006,4.2,5.1
4Q 2006,2006,5.83,5.31
1Q 2007,2007,5.39,5.2
2Q 2007,2007,5.37,5.39
3Q 2007,2007,4.46,5.33
4Q 2007,2007,5.57,5.18
1Q 2008,2008,4.3,4.59
2Q 2008,2008,4.7,3.94
3Q 2008,2008,4.49,2.74
4Q 2008,2008,-0.41,0.16
1Q 2009,2009,-1.35,-2.25
2Q 2009,2009,2.38,-1.98
3Q 2009,2009,4.1,-0.61
4Q 2009,2009,7.02,1.93
1Q 2010,2010,6.65,4.82
2Q 2010,2010,4.91,5.41
3Q 2010,2010,3.65,5.23
4Q 2010,2010,5.98,5.05
1Q 2011,2011,4.12,4.77
2Q 2011,2011,2.31,4.06
3Q 2011,2011,2.46,3.78
4Q 2011,2011,2.36,3.43
1Q 2012,2012,3.48,3.46
2Q 2012,2012,3.48,3.23
3Q 2012,2012,4.27,3.12
4Q 2012,2012,4.99,2.87
1Q 2013,2013,4.84,2.73
2Q 2013,2013,3.89,3.1
3Q 2013,2013,2.93,3.41
4Q 2013,2013,1.54,3.71
1Q 2014,2014,3.01,3.48
2Q 2014,2014,4.95,3.46
3Q 2014,2014,4.24,3.37
4Q 2014,2014,3.75,3.24
1Q 2015,2015,1.21,3.45
2Q 2015,2015,2.14,3.35
3Q 2015,2015,2.76,3.2
4Q 2015,2015,2.49,3.05
1Q 2016,2016,3.81,3.07
2Q 2016,2016,2.4,3.09
3Q 2016,2016,1.25,3.13
4Q 2016,2016,1.35,3.51
1Q 2017,2017,2.65,3.54
2Q 2017,2017,3.58,3.74
3Q 2017,2017,3.74,3.97
4Q 2017,2017,3.82,3.99
1Q 2018,2018,1.24,4.17
2Q 2018,2018,0.25,3.95
3Q 2018,2018,0.81,3.37
4Q 2018,2018,0.52,2.94
1Q 2019,2019,1.29,2.86
2Q 2019,2019,1.32,2.95
3Q 2019,2019,1.41,2.99
4Q 2019,2019,1.41,2.61
1Q 2020,2020,-8.07,-1.31
2Q 2020,2020,-8.12,-8.46
3Q 2020,2020,-6.74,-1.99
4Q 2020,2020,-6.23,-0.04
1Q 2021,2021,7.12,4.02
2Q 2021,2021,7.09,12.13
3Q 2021,2021,5.29,5.52
4Q 2021,2021,4.83,5.11
1Q 2022,2022,3.84,4.45
2Q 2022,2022,3.42,3.63
3Q 2022,2022,3.94,3.43
4Q 2022,2022,3.89,2.32
1Q 2023,2023,4.12,2.79
2Q 2023,2023,4.51,3.55
3Q 2023,2023,3.91,3.25
4Q 2023,2023,4.04,3.33
1Q 2024,2024,3.37,3.21
2Q 2024,2024,1.35,3.12
3Q 2024,2024,0.55,2.95
4Q 2024,2024,1.23,3.07
1Q 2025,2025,1.64,3.07
2Q 2025,2025,1.93,3.13
3Q 2025,2025,2.4,3.31
4Q 2025,2025,1.95,3.29
1Q 2026,2026,1.57,3.31
2Q 2026,2026,1.88,3.34
3Q 2026,2026,2,3.33
4Q 2026,2026,2,3.31
