,quater,year,Inventory Change,Spread Change,World Consumption Change,World GDP Change,Assets under management (four largest public U.S. commodity funds),Dow Jones UBS Commodity Index,Open Interest,non-OECD Consumption Growth,non-OECD GDP growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Spare Capacity,Saudi Production Change,WTI Production Change,Capacity percent change,WTI Real Price (GDP Deflated)
0,1Q,2002,,,-0.14,2.19,,,465.431,1.9,1.94,0.99,-1.33,7.03,-1.17,-24.76,1.07,34.06
1,2Q,2002,,,0.63,2.71,,,492.333,2.21,2.49,1.75,-0.35,7.61,-0.53,-5.93,2.03,41.18
2,3Q,2002,,,1.48,3.26,,,470.571,3.57,3.11,0.92,0.23,6.75,-0.27,5.97,0.98,44.16
3,4Q,2002,,,2.52,3.33,,,521.515,3.52,3.34,0.8,1.91,5.35,0.37,38.09,0,43.86
4,1Q,2003,,,2.71,3.24,,,604.3,3.02,3.24,1.04,2.53,2.04,1.62,57.3,-3.22,52.54
5,2Q,2003,,,1.54,3.05,,,489.604,1.13,3.05,0.28,1.79,1.38,1.69,10.32,-5.15,44.57
6,3Q,2003,,,1.96,3.65,,,522.785,4.02,3.65,1.31,0.68,2.22,0.75,6.8,-2.67,46.22
7,4Q,2003,,,2.11,4.54,,,554.566,4.14,4.54,1.72,0.87,1.99,0.52,10.32,-0.14,47.41
8,1Q,2004,,,3.02,5.07,,,659.581,6.15,5.07,1.39,1.12,1.87,-0.3,3.78,3.81,53.33
9,2Q,2004,,,4.76,5.47,,,705.539,9.65,5.47,1.84,1.66,1.67,-0.36,32.21,5.37,57.38
10,3Q,2004,,,4.24,5.13,,,695.279,7.41,5.13,1.01,2.22,0.7,0.98,45.06,3.15,65.24
11,4Q,2004,,,3.77,4.58,,,698.539,6.81,4.58,0.65,1.86,0.68,0.97,54.39,1.37,71.09
12,1Q,2005,,,2.93,4.54,,,762.708,5.06,4.54,0.24,1.56,1.09,0.9,41.24,1.17,73.12
13,2Q,2005,,,1.94,4.52,,,806.082,2.92,4.52,0.68,1.26,1.04,0.8,38.61,2.04,77.26
14,3Q,2005,,,1.43,4.6,,,866.112,2.75,4.6,-0.07,0.54,0.94,0.1,44.41,1.12,91.24
15,4Q,2005,,,-0.4,4.95,,,840.483,-0.29,4.95,-0.47,-0.47,0.98,0,24.61,0.43,85.77
16,1Q,2006,49.29,3.03,0.72,5.29,51.98,1.91,929.464,2.41,5.29,0.13,-0.39,1.12,-0.09,26.86,-0.04,89.88
