국가별,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
대한민국,-,-,-,-,-,597.7,567.6,649.9,728.4,823.7,971.6,1094.4,1221,1091,983.5,1193,1307.3,1335.3,1434.6,1555.7,1538.5,1579.5,1710.4,1824,1750.6,1744.4,1941.5,1798.7,1839.4
아프가니스탄,-,-,-,-,-,6.2,5.6,7.2,7.9,8,8.9,9.3,10.6,11.1,13.4,15.4,15.4,17.4,18.4,18.9,19.1,19.6,20.1,20.3,21.1,20.6,16.3,15.3,-
아르메니아,3.1,3.3,3.4,3.6,3.7,4,4.3,4.9,5.6,6.2,7,8,9.1,9.7,8.3,8.5,8.9,9.6,9.9,10.2,10.6,10.6,11.4,12,12.9,11.9,12.6,14.2,15.5
아제르바이잔,8.5,8.6,9.1,10,10.7,11.9,13.1,14.3,15.8,17.3,22.1,29.7,37.1,41.1,45,47.2,47.3,48.3,51.1,52.5,53.1,51.4,51.5,52.3,53.6,51.3,54.2,56.7,57.4
바레인,12.5,13,13.4,14,14.7,15.4,15.8,16.3,17.4,18.6,19.8,21.1,22.9,24.3,24.9,26,26.5,27.5,29,30.3,31.1,32.2,33.4,34.2,34.9,33.3,34.2,35.9,36.7
방글라데시,66,68.9,72,75.8,79.3,83.5,87.7,91.1,95.4,100.4,107,114.1,122.2,129.5,136,143.6,152.9,162.9,172.7,183.1,195.1,209,222.8,239.1,258,266.9,285.4,305.6,323.3
부탄,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.3,1.4,1.5,1.7,1.8,1.9,1.9,2,2.2,2.3,2.4,2.5,2.6,2.4,2.5,2.6,-
브루나이,10.6,10.9,10.8,10.7,11,11.3,11.7,12.1,12.5,12.5,12.6,13.1,13.1,12.9,12.7,13,13.5,13.6,13.3,13,12.9,12.6,12.8,12.8,13.3,13.4,13.2,13,13.2
캄보디아,4.1,4.4,4.6,4.8,5.4,5.9,6.4,6.8,7.4,8.2,9.2,10.2,11.3,12,12,12.8,13.7,14.7,15.7,16.9,18,19.3,20.7,22.2,23.8,23,23.7,25,26.3
중국,1831.4,2013.1,2199.1,2371.6,2553.3,2770.1,3001,3275.1,3603.9,3968.4,4420.5,4982.9,5692,6241.3,6827.9,7554.1,8275.6,8926.4,9619.6,10333.9,11061.6,11819.2,12640.3,13493.4,14296.4,14616.4,15851.3,16325.1,17174
키프로스,12.7,12.8,13.2,14,14.7,15.5,16.1,16.8,17.2,18.1,18.9,19.8,20.8,21.6,21.2,21.6,21.7,21,19.6,19.3,19.9,21.2,22.4,23.7,25,24.2,26.5,27.9,28.6
동티모르,0.7,0.8,0.8,0.8,0.5,0.8,1,0.9,0.9,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.6,2,2.6,2.7,2.2,1.9
조지아,4.8,5.3,5.9,6.1,6.3,6.4,6.7,7,7.8,8.3,9.1,9.9,11.2,11.4,11,11.7,12.6,13.5,14.2,14.7,15.2,15.7,16.6,17.6,18.5,17.3,19.2,21.3,22.9
홍콩,157.7,164.4,172.8,162.7,166.7,179.5,180.5,183.5,189.1,205.6,220.8,236.3,251.6,256.9,250.6,267.6,280.4,285.2,294,302.2,309.4,316.1,328.1,337.5,331.8,310.1,330.1,318,328.2
인도,596.1,641.1,667,708.3,770.9,800.5,839.2,871.1,939.5,1014,1094.3,1182.5,1273.1,1312.4,1415.6,1535.9,1616.4,1704.6,1813.5,1947.8,2103.6,2277.3,2432,2589,2689.2,2533.8,2779.3,2973.5,3199.1
인도네시아,380.9,410.7,430,373.5,376.5,395,409.4,427.8,448.3,470.8,497.6,525,558.3,591.9,619.3,657.8,698.4,740.5,781.7,820.8,860.9,904.2,950,999.2,1049.3,1027.7,1065.7,1122.3,1178.9
이란,216.7,230.5,233.6,238.4,243.2,257.4,263.6,284.9,309.5,322.9,333.2,349.9,378.4,379.4,383.2,405.4,416.1,400.5,394.5,414.1,408.2,444.2,456.5,448.1,434.3,448.8,469.9,487.7,511.8
이라크,40.8,45.3,55,74.1,87.2,101.9,103.7,95.2,60.3,92.5,94,99.4,101.2,109.6,113.3,120.5,129.6,147.7,158.9,159.3,166.8,189.8,186.3,191.2,201.8,177.5,180.1,193.9,188.2
이스라엘,143.5,152,157.7,164.2,169.7,184.4,185,184.8,187.4,196.3,204.5,215.9,228.9,236.3,238.4,251.9,266,272.8,284.9,296.1,303.4,317.1,330.7,344.2,358.5,351.8,382.1,408.2,416.4
일본,3785.6,3904.3,3942.6,3892.5,3879.5,3986.8,4002.1,4003.8,4065.3,4154.2,4229.1,4287.1,4350.8,4297.5,4052.8,4218.9,4219.9,4277.9,4363.7,4376.6,4444.9,4478.4,4553.5,4582.8,4564.3,4375,4487,4529.9,4617
요르단,15.7,16,16.6,17.1,17.6,18.4,19.3,20.5,21.3,23.1,25,27.1,29.3,31.4,33,33.7,34.6,35.5,36.4,37.6,38.6,39.4,40.3,41.1,41.8,41.4,42.9,43.9,45.1
카자흐스탄,58.5,58.8,59.8,58.7,60.3,66.2,75.1,82.5,90.1,98.8,108.4,120,130.7,135,136.6,146.6,157.4,165,174.9,182.2,184.4,186.4,194.1,202,211.1,205.8,214.7,221.5,232.8
쿠웨이트,55.8,56.1,57.5,59.6,58.5,61.3,61.4,63.2,74.2,81.8,90.5,97.3,103.1,105.7,98.2,95.9,105.1,112.1,113.3,113.9,114.6,117.9,112.4,115.1,116.7,110.6,112.4,119.3,116.7
키르기스스탄,2.7,2.9,3.2,3.2,3.3,3.5,3.7,3.7,4,4.2,4.2,4.4,4.7,5.1,5.3,5.3,5.6,5.6,6.2,6.4,6.7,7,7.3,7.6,7.9,7.4,7.8,8.5,9
라오스,3.7,3.9,4.2,4.4,4.7,5,5.3,5.6,5.9,6.3,6.7,7.3,7.9,8.5,9.1,9.9,10.7,11.6,12.5,13.4,14.4,15.4,16.5,17.5,18.5,18.6,19.1,19.6,20.3
레바논,22,24.4,24.7,25.6,25.5,25.8,26.8,27.7,28.6,30.5,31.3,31.8,34.8,37.9,41.8,45.1,45.5,46.7,48.5,49.7,49.9,50.7,51.2,50.2,46.7,36.7,34.2,33.9,33.9
마카오,14,13.9,13.9,13.2,12.9,13.7,14.1,15.3,17.1,21.7,23.4,26.6,30.4,31.4,31.8,39.8,48.4,52.9,58.6,57.4,45,44.7,49.2,52.3,51,23.3,28.7,22.6,40.8
말레이시아,117.3,129.1,138.5,128.3,136.2,148.3,149,157.1,166.2,177.4,186.9,197.3,209.8,219.9,216.6,232.7,245,258.4,270.5,286.8,301.4,314.8,333.1,349.2,364.6,344.7,356.1,386.9,401.1
몰디브,1.4,1.5,1.7,1.8,1.9,2,1.9,2,2.3,2.5,2.2,2.7,2.9,3.2,2.9,3.1,3.4,3.4,3.7,4,4.1,4.4,4.7,5.1,5.5,3.7,5.1,5.8,6
몽골,3.3,3.4,3.5,3.7,3.8,3.8,3.9,4.1,4.4,4.9,5.2,5.7,6.3,6.8,6.7,7.2,8.4,9.4,10.5,11.3,11.6,11.8,12.5,13.4,14.2,13.5,13.7,14.4,15.5
미얀마,9,9.6,10.1,10.7,11.9,13.5,15.1,16.9,19.2,21.8,24.8,28,31.4,34.6,38.2,41.9,44.3,47.5,51.5,55.7,59.6,63.1,67,71.2,75.9,69,60.7,63.2,63.8
네팔,10.6,11.2,11.8,12.1,12.6,13.4,14.1,14.1,14.7,15.3,15.9,16.4,17,18,18.8,19.7,20.4,21.3,22.1,23.4,24.4,24.5,26.7,28.7,30.6,29.9,31.3,33.1,33.7
오만,39,40.2,42.6,43.8,43.9,46.8,48.9,48.3,47,47.7,48.8,51.5,53.8,58.2,61.7,62.8,64.6,70.3,74,75,78.7,82.7,82.9,84,83.1,80.2,82.7,86.3,87.4
파키스탄,138.5,145.2,146.7,150.4,155.9,162.6,168.5,172.9,182.2,196.5,210.8,223.5,233.4,238.4,246.7,250.4,257.1,264.9,276.4,287.8,300,319.7,333.9,354.4,363.2,358.6,382,400.2,400.2
필리핀,119.5,126.5,133.1,132.4,136.8,142.8,147.2,152.6,160.4,170.9,179.4,188.9,201.2,210,213,228.6,237.4,253.8,271,288.2,306.4,328.4,351.1,373.4,396.2,358.5,379,407.7,430.3
카타르,19.8,20.7,26.9,29.9,31.2,33.7,35,37.5,38.9,46.4,49.9,62.9,74.2,87.3,97.8,117,132.6,138.9,146.6,154.4,161.7,166.7,164.2,166.2,167.4,161.4,164,170.9,-
사우디아라비아,340.3,349.2,353.1,363.3,349.6,369.3,364.8,354.5,394.4,425.8,449.5,462.1,470.6,500,489.7,514.4,570.9,601.8,617.1,640.6,669.5,682.1,688.3,710.3,718.1,692.4,727.6,782,776.1
싱가포르,107.1,115.1,124.6,121.9,128.9,140.5,139,144.5,151.1,166.1,178.3,194.4,211.9,215.8,216.1,247.5,262.9,274.5,287.8,299.1,308,319.1,333.5,345.2,349.8,336.3,368.9,383,387.1
스리랑카,29.5,30.7,32.6,34.2,35.6,37.8,37.2,38.7,41,43.2,45.9,49.4,52.8,55.9,57.9,62.5,67.9,73.8,76.8,81.7,85.1,89.4,95.2,97.4,97.2,92.7,96.6,89.5,87.5
시리아,17.4,19.1,20,21.4,20.6,20.8,21,21.8,23.4,25,26.6,27.9,29.5,30.8,32.6,34.3,35.3,26,19.2,17.2,16.5,15.4,15.3,15.5,15.7,15.7,15.9,-,-
타지키스탄,2.7,2.2,2.3,2.4,2.5,2.7,3,3.3,3.6,4,4.3,4.6,4.9,5.3,5.5,5.9,6.3,6.8,7.3,7.8,8.3,8.8,9.5,10.2,10.9,11.4,12.5,13.5,14.6
태국,213.6,225.7,219.5,202.7,212,221.5,229.1,243.2,260.7,277,288.6,303,319.5,325,322.7,347,349.9,375.2,385.3,389.1,401.3,415.1,432.4,450.7,460.2,432.4,439.2,450,458.4
튀르키예,338.2,363.1,390.7,400,387,413.8,390,415.2,439.1,482.1,525.5,562,590.3,595.1,566.4,614.2,683,715.7,776.4,814.7,864.3,893,960,989,997.1,1015.6,1131.8,1194.4,1248.4
투르크메니스탄,8.3,8.9,7.9,8.4,9.8,10.3,10.8,10.8,11.2,11.7,13.3,14.7,16.3,18.7,19.9,21.7,24.9,27.7,30.5,33.6,35.8,38,40.5,43,45.7,48.4,51.4,54.6,58
아랍에미리트,153,161.9,175.2,175.7,180.8,200.4,203.2,208.2,226.5,248.1,260.2,285.8,294.9,304.3,288.3,293,311.2,316.9,332.9,346.7,370.3,390.9,393.7,398.9,403.3,383.3,400,431.4,446.1
우즈베키스탄,26,26.5,27.9,29.1,30.3,31.5,32.8,34.1,35.5,38.2,40.8,43.9,48,52.4,56.6,60.9,65.5,70.1,75.2,80.4,86.2,91.3,95.3,100.9,107,109.1,117.2,123.8,131.2
베트남,66.8,73.1,79,83.6,87.6,93.5,99.3,105.6,112.9,121.4,130.5,139.7,149.6,158.1,166.6,177.3,188.7,199.1,210.1,223.6,239.3,255.3,273,293.4,314.9,324,332.2,359.2,377.4
예멘,32.3,33.8,35.5,37.7,39.1,41.5,43.1,44.8,46.4,48.3,51,52.6,54.4,56.4,58.5,63,55,56.3,59.1,58.9,42.4,38.5,36.5,36.8,-,-,-,-,-
버뮤다,5.3,5.5,5.7,6,6.2,6.7,7.2,7.1,7.4,7.5,7.7,8.1,8.4,8.2,7.7,7.5,7.3,6.9,6.9,6.6,6.7,6.6,6.8,6.8,6.8,6.4,6.7,7.2,-
캐나다,955.1,971.3,1012.8,1052.3,1106.3,1163.2,1185,1220.6,1242.6,1281,1322.2,1357,1384.8,1398.6,1357.9,1399.8,1443.7,1469.1,1503.3,1546.5,1556.5,1572.7,1620.4,1664.8,1696.6,1611.1,1696.3,1761.1,1779.9
그린란드,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.4,2.5,2.4,2.6,2.5,2.6,2.6,2.6,2.7,2.7,2.7,-,-
멕시코,724.2,769.3,824.6,875.7,899.8,945,940.8,938.5,949.7,983.5,1004.3,1052.6,1074.4,1084.6,1016.3,1066.8,1103.6,1142.8,1152.5,1181.4,1213.3,1234.8,1257.9,1282.7,1279.5,1169.1,1236.2,1285.1,1326.6
미국,11106.7,11525.7,12038.3,12578,13180.2,13717.7,13848.8,14084.2,14478,15035.1,15558.8,15992.1,16312.5,16331.1,15910.3,16339.1,16594.7,16974.6,17334.1,17771.5,18295,18627.9,19085.7,19651.9,20136.7,19691,20833.1,21236.3,21776.3
