국가별,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
국가별,생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%),생산 (100만 톤),- 점유율 (%),소비 (100만 톤),- 점유율 (%)
세계,3279.1,100,3286.7,100,3366.4,100,3360.1,100,3441.4,100,3451.4,100,3528.3,100,3464.1,100,3448.4,100,3519.5,100,3599.6,100,3577.4,100,3598.8,100,3609.8,100,3555.4,100,3632.3,100,3713.2,100,3710.9,100,3899.3,100,3862.5,100,3932.5,100,3912.4,100,3967.4,100,3953.9,100,3958.9,100,3999,100,4001.1,100,3965.9,100,3901.6,100,3873.9,100,3978.6,100,3995.3,100,4009.3,100,4022.6,100,4120.9,100,4087,100,4126,100,4124.1,100,4222.7,100,4153.6,100,4363.9,100,4234.5,100,4380.7,100,4326.6,100,4387,100,4403.1,100,4490.2,100,4445,100,4487.4,100,4451.5,100,4188.2,100,4051.2,100,4237.9,100,4277.6,100,4424.1,100,4422.1,100,4514.1,100,4530.5,100
대한민국,-,-,94.8,2.9,-,-,101.4,3,-,-,111.4,3.2,-,-,92.1,2.7,-,-,98.8,2.8,-,-,101.2,2.9,-,-,101.2,2.9,-,-,102.9,2.9,-,-,103.8,2.9,-,-,103,2.7,-,-,103.4,2.7,-,-,103.4,2.6,-,-,106,2.7,-,-,100.9,2.6,-,-,102,2.6,-,-,104.1,2.6,-,-,105,2.6,-,-,108.7,2.6,-,-,108.6,2.6,-,-,107.8,2.6,-,-,112.9,2.6,-,-,123.3,2.8,-,-,121.9,2.7,-,-,121.3,2.7,-,-,120,2.7,-,-,114.6,2.8,-,-,122.1,2.9,-,-,123.7,2.8,-,-,121.4,2.7
아제르바이잔,9.2,0.3,6.6,0.2,9.1,0.3,5.9,0.2,9,0.3,5.6,0.2,11.4,0.3,5.9,0.2,13.9,0.4,5.7,0.2,14.1,0.4,6.4,0.2,15,0.4,4,0.1,15.3,0.4,3.7,0.1,15.4,0.4,4.3,0.1,15.5,0.4,4.6,0.1,22.2,0.6,5.4,0.1,32.3,0.8,4.8,0.1,42.7,1.1,4.8,0.1,44.6,1.1,3.7,0.1,50.5,1.3,3.1,0.1,50.9,1.3,3.1,0.1,45.7,1.1,4,0.1,43.4,1.1,4.2,0.1,43.5,1.1,4.6,0.1,42.1,1,4.5,0.1,41.7,1,4.6,0.1,41.1,0.9,4.6,0.1,38.7,0.9,4.6,0.1,38.8,0.9,5.2,0.1,37.6,0.9,5.2,0.1,34.6,0.8,4.8,0.1,34.6,0.8,5.4,0.1,32.7,0.8,5.7,0.1,30.2,0.7,5.9,0.1
방글라데시,-,-,2.9,0.1,-,-,3,0.1,-,-,3.4,0.1,-,-,3.8,0.1,-,-,3.4,0.1,-,-,3.3,0.1,-,-,4,0.1,-,-,3.6,0.1,-,-,3.6,0.1,-,-,3.8,0.1,-,-,3.9,0.1,-,-,3.9,0.1,-,-,3.8,0.1,-,-,3.8,0.1,-,-,3.6,0.1,-,-,4,0.1,-,-,5,0.1,-,-,5.7,0.1,-,-,5.8,0.1,-,-,6.4,0.1,-,-,7.8,0.1,-,-,8.1,0.1,-,-,9.1,0.2,-,-,10.4,0.2,-,-,10.2,0.2,-,-,8.6,0.2,-,-,11.9,0.2,-,-,14.5,0.3,-,-,12.1,0.3
브루나이,8.5,0.3,-,-,8.1,0.2,-,-,8,0.2,-,-,7.7,0.2,-,-,8.9,0.3,-,-,9.5,0.3,-,-,10,0.3,-,-,10.3,0.3,-,-,10.5,0.3,-,-,10.3,0.3,-,-,10.1,0.3,-,-,10.8,0.3,-,-,9.5,0.2,-,-,8.6,0.2,-,-,8.2,0.2,-,-,8.4,0.2,-,-,8.1,0.2,-,-,7.8,0.2,-,-,6.6,0.2,-,-,6.2,0.1,-,-,6.2,0.1,-,-,5.9,0.1,-,-,5.5,0.1,-,-,5.4,0.1,-,-,5.9,0.1,-,-,5.4,0.1,-,-,5.2,0.1,-,-,4.5,0.1,-,-,4.5,0.1,-,-
중국,149,4.5,153.5,4.9,158.5,4.7,170.3,5.2,160.1,4.6,187.5,5.6,160.2,4.5,192.8,5.7,160.2,4.6,205,5.9,162.6,4.5,221.1,6.3,164.8,4.6,225.7,6.3,166.9,4.6,244.1,6.8,169.6,4.5,273,7.3,174.1,4.5,318.8,8.2,181.4,4.6,323.6,8.4,184.8,4.7,346.6,9,186.3,4.7,363.2,9.2,190.4,4.8,370.9,9.4,189.5,4.9,385.9,10,203,5.1,440.8,10.9,202.9,5.1,455.5,11.4,207.5,5,477.3,11.8,210,5,498.2,12.1,211.4,5,518.1,12.4,214.6,4.9,557,12.9,199.7,4.6,574.4,13.1,191.5,4.4,605.7,13.3,189.3,4.2,634.9,13.9,191.6,4.3,666.9,14.6,194.8,4.7,675.7,16.7,198.9,4.7,691.6,16.9,204.7,4.6,695.1,15,209,4.6,768.6,17
키프로스,-,-,2.1,-,-,-,2.1,-,-,-,2.1,-,-,-,2.3,-,-,-,2.5,-,-,-,2.6,-,-,-,2.6,-,-,-,2.5,-,-,-,2.7,-,-,-,2.6,-,-,-,3,-,-,-,2.9,-,-,-,3,-,-,-,3,-,-,-,3,-,-,-,2.9,-,-,-,2.8,-,-,-,2.6,-,-,-,2.3,-,-,-,2.3,-,-,-,2.4,-,-,-,2.6,-,-,-,2.7,0.1,-,-,2.6,0.1,-,-,2.6,0.1,-,-,2.2,0.1,-,-,2.3,0.1,-,-,2.4,0.1,-,-,2.4,0.1
홍콩,-,-,9.6,0.3,-,-,9.4,0.3,-,-,9.3,0.3,-,-,8.9,0.3,-,-,9.5,0.3,-,-,9.9,0.3,-,-,11.8,0.3,-,-,12.8,0.4,-,-,12.9,0.3,-,-,15.3,0.4,-,-,13.8,0.4,-,-,14.9,0.4,-,-,16,0.4,-,-,14.5,0.4,-,-,16.5,0.4,-,-,17.8,0.4,-,-,17.9,0.4,-,-,17.2,0.4,-,-,17.6,0.4,-,-,16.6,0.4,-,-,18.2,0.4,-,-,18.8,0.4,-,-,21.3,0.5,-,-,21.6,0.5,-,-,20.1,0.5,-,-,14.2,0.4,-,-,12.7,0.3,-,-,10.8,0.2,-,-,13.3,0.3
