국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
세계,전체[exajoules],exajoules,363.80667,374.29465,378.08383,380.27441,386.74306,397.32501,401.20405,409.71417,424.11678,445.42429,460.34957,473.35932,487.88136,493.6706,485.82891,509.24714,520.94859,528.28126,537.47718,543.20764,547.32778,552.98784,566.10743,581.46639,588.04773,567.60383,596.62453,607.34953,619.62866
세계,석탄[exajoules],exajoules,93.5127,95.73264,95.5702,94.96847,95.37286,98.78936,100.31298,104.28334,113.44079,121.28342,130.28675,137.0634,144.84205,146.82977,144.68396,151.15792,158.18687,158.61958,160.95327,161.61542,157.24982,153.8527,155.49582,157.87006,156.9498,152.26807,160.56029,161.52884,164.03375
세계,석유[100만 톤],100만 톤,3286.70456,3360.12888,3451.40981,3464.14622,3519.52617,3577.43748,3609.75695,3632.26995,3710.90403,3862.47161,3912.4255,3953.85721,3998.95263,3965.86039,3873.92091,3995.34962,4022.60962,4087.03556,4124.09528,4153.60354,4234.47403,4326.6331,4403.11863,4444.97696,4451.5192,4051.18928,4277.55677,4422.08742,4530.52842
세계,천연가스[exajoules],exajoules,75.97617,79.77332,79.30941,80.76239,83.05885,86.37933,87.5406,90.10183,92.61984,96.24339,98.78034,101.381,105.53654,108.09608,105.86052,113.73776,116.45683,119.53129,121.39481,122.26212,125.1076,126.82566,131.46326,137.95718,140.70403,139.37073,144.86046,144.31276,144.36626
세계,수력[exajoules],exajoules,26.43607,26.7919,27.26605,27.47446,27.68241,28.17391,27.27107,27.59464,27.38423,29.21853,30.01007,30.95812,31.2754,32.89391,32.63787,34.27396,34.68535,35.94457,37.16491,37.92647,37.60331,38.69888,38.97573,39.89118,40.26513,41.21667,40.40087,40.5785,39.65255
세계,원자력[exajoules],exajoules,23.72477,24.5837,24.41464,24.83479,25.77979,26.36166,26.93001,27.18388,26.46236,27.48877,27.38647,27.5534,26.82301,26.57377,26.03603,26.54313,25.27735,23.40133,23.4461,23.78163,23.95838,24.17096,24.24341,24.67947,25.45841,24.39672,25.33345,24.13395,24.56704
대한민국,전체[exajoules],exajoules,6.32498,6.98556,7.67204,7.00693,7.63929,8.08017,8.27517,8.65683,8.93614,9.14448,9.45169,9.60868,9.89691,10.06167,10.11801,10.9269,11.43449,11.57866,11.61312,11.70962,11.91426,12.26675,12.40491,12.61098,12.46563,12.04907,12.62343,12.75244,12.43402
대한민국,석탄[exajoules],exajoules,1.15118,1.34396,1.46234,1.50937,1.59756,1.79717,1.91438,2.057,2.14048,2.22731,2.29418,2.37192,2.49755,2.76747,2.87194,3.22977,3.50382,3.37608,3.41408,3.5336,3.57558,3.41221,3.60805,3.6279,3.43932,3.02457,3.03675,2.86765,2.69406
대한민국,석유[100만 톤],100만 톤,94.845,101.435,111.352,92.06263,98.83279,101.22593,101.2205,102.86848,103.7706,102.99147,103.35898,103.42268,105.9919,100.87141,102.01468,104.10999,105.0321,108.72281,108.58404,107.76547,112.91628,123.28423,121.93303,121.3382,120.04587,114.56049,122.1377,123.6608,121.39225
대한민국,천연가스[exajoules],exajoules,0.34716,0.45866,0.55738,0.52143,0.63489,0.71308,0.78328,0.8704,0.91166,1.0683,1.14381,1.20595,1.30614,1.34413,1.27769,1.62059,1.74404,1.89103,1.97913,1.80014,1.64339,1.71517,1.79123,2.08094,2.01722,2.07134,2.24667,2.24564,2.16269
대한민국,수력[exajoules],exajoules,0.02938,0.02581,0.02996,0.04556,0.04428,0.04268,0.02464,0.03397,0.05101,0.04472,0.03787,0.03552,0.03697,0.03106,0.02828,0.03679,0.04566,0.03918,0.04208,0.02683,0.0208,0.02743,0.02691,0.032,0.02646,0.03666,0.02877,0.03324,0.03475
대한민국,원자력[exajoules],exajoules,0.6847,0.75514,0.78743,0.91618,1.0528,1.11307,1.13801,1.20094,1.29913,1.30124,1.45191,1.46214,1.39623,1.46542,1.42563,1.42479,1.4745,1.42392,1.30666,1.46376,1.53278,1.49812,1.36457,1.22021,1.32867,1.45329,1.42837,1.58562,1.61971
아제르바이잔,전체[exajoules],exajoules,0.57833,0.47427,0.45416,0.45592,0.45487,0.4754,0.45802,0.45219,0.48973,0.55403,0.60061,0.59073,0.54386,0.54419,0.46861,0.46238,0.52466,0.54033,0.55516,0.56607,0.61857,0.61269,0.60103,0.6342,0.66921,0.66574,0.71118,0.75703,0.82026
아제르바이잔,석탄[exajoules],exajoules,0.00013,0.00013,0.00013,,,,0.00013,0.00008,0.00013,0.00004,0.00013,0.00013,0.00021,0.00016,0.00018,0.00017,0.00015,0.00015,0.00014,0.00009,0.00012,0.00005,0.00004,0.00003,0.00003,0.00002,0.00001,0,0
아제르바이잔,석유[100만 톤],100만 톤,6.58023,5.93675,5.6463,5.94737,5.74982,6.36864,4.02593,3.681,4.3,4.603,5.376,4.806,4.759,3.6626,3.1058,3.0503,4.0217,4.2109,4.5797,4.4968,4.5816,4.5639,4.60028,5.1912,5.2163,4.7762,5.3869,5.729,5.8988
아제르바이잔,천연가스[exajoules],exajoules,0.28201,0.2066,0.19676,0.18361,0.19676,0.19018,0.2728,0.27357,0.28053,0.32895,0.33978,0.3592,0.31626,0.36183,0.30895,0.29369,0.32164,0.33756,0.33905,0.35476,0.40128,0.3935,0.3822,0.38937,0.42441,0.4452,0.46143,0.49018,0.54438
아제르바이잔,수력[exajoules],exajoules,0.01656,0.01636,0.01822,0.02077,0.01603,0.01633,0.01376,0.02123,0.02579,0.02858,0.03102,0.02579,0.02406,0.02258,0.02321,0.03444,0.02657,0.01798,0.01461,0.01268,0.01588,0.01888,0.01673,0.01684,0.01485,0.01011,0.01203,0.01498,0.01649
방글라데시,전체[exajoules],exajoules,0.38559,0.40393,0.42441,0.45201,0.45715,0.49004,0.56011,0.56168,0.5937,0.63132,0.68448,0.74067,0.76167,0.80199,0.88293,0.90363,0.97747,1.06183,1.10326,1.14631,1.38606,1.3919,1.45022,1.54872,1.73686,1.64625,1.77257,1.86471,1.83056
방글라데시,석탄[exajoules],exajoules,0.01343,0.00737,0.01352,0.00389,0.00193,0.01381,0.01465,0.0153,0.01463,0.01465,0.03005,0.04566,0.03727,0.03923,0.04901,0.03123,0.0465,0.03837,0.05314,0.03366,0.11028,0.08293,0.09042,0.10285,0.17303,0.18845,0.15232,0.19943,0.28185
방글라데시,석유[100만 톤],100만 톤,2.933,2.99,3.429,3.793,3.371,3.324,3.957,3.5608,3.64304,3.79984,3.90474,3.93157,3.80408,3.77567,3.56918,3.96013,4.99741,5.72191,5.84505,6.43746,7.77669,8.07516,9.10011,10.4303,10.24472,8.62926,11.86834,14.50582,12.10288
방글라데시,천연가스[exajoules],exajoules,0.24272,0.26051,0.25608,0.27671,0.30169,0.32609,0.36516,0.38416,0.41322,0.44425,0.47748,0.51708,0.55211,0.58955,0.67488,0.69313,0.70496,0.76811,0.7903,0.8288,0.93075,0.95223,0.95734,0.98744,1.11364,1.07695,1.10192,1.03274,1.01253
방글라데시,수력[exajoules],exajoules,0.00396,0.00787,0.00765,0.00921,0.00887,0.00797,0.0105,0.00787,0.00782,0.00777,0.00772,0.00767,0.00762,0.00961,0.00419,0.00728,0.00866,0.00767,0.00715,0.00552,0.00871,0.00853,0.00986,0.00824,0.00781,0.00662,0.00642,0.00727,0.00639
중국,전체[exajoules],exajoules,37.26957,39.26682,39.53208,39.60204,40.98984,42.48102,44.89223,48.88977,56.94752,66.63289,75.69779,82.974,90.17847,93.67367,97.77204,104.60019,112.81153,117.44705,121.86923,125.02463,126.48955,126.99977,131.93778,138.27472,144.67876,149.37737,157.84922,160.25874,170.73923
중국,석탄[exajoules],exajoules,27.85266,29.1434,28.55488,28.33818,29.15652,29.56106,31.08872,34.08285,40.61901,47.35901,55.45838,60.90617,66.32609,67.37731,70.57807,73.22595,79.71697,80.72049,82.44767,82.09693,80.38455,78.03281,78.8956,80.46773,82.52005,84.24919,87.53571,87.83201,91.93867
중국,석유[100만 톤],100만 톤,153.5235,170.30762,187.51805,192.80095,205.03826,221.14855,225.71308,244.06818,273.0021,318.81701,323.60563,346.58246,363.19581,370.86773,385.93877,440.83636,455.53084,477.31526,498.20833,518.07641,557.02978,574.35838,605.7323,634.8739,666.9465,675.7421,691.6022,695.0952,768.55191
중국,천연가스[exajoules],exajoules,0.64366,0.6745,0.71275,0.73499,0.77987,0.88905,0.99525,1.05889,1.23029,1.43942,1.6911,2.08022,2.5588,2.94958,3.24806,3.91947,4.86586,5.43159,6.18763,6.78107,7.00882,7.53988,8.68508,10.22134,11.10157,12.11822,13.68965,13.59531,14.57417
중국,수력[exajoules],exajoules,2.02875,2.00097,2.08624,2.11722,2.09263,2.36759,2.93411,3.02593,2.96175,3.66765,4.09257,4.46396,4.93971,6.44362,6.18954,7.1082,6.83308,8.51661,8.92466,10.33491,10.80489,11.11443,11.16207,11.41894,12.07575,12.49628,12.24605,12.18376,11.465
중국,원자력[exajoules],exajoules,0.13109,0.14646,0.14728,0.14403,0.1527,0.17097,0.17732,0.25336,0.43423,0.50241,0.52514,0.53908,0.60689,0.66393,0.67581,0.71665,0.83101,0.93129,1.04979,1.24674,1.59433,1.97146,2.28092,2.69624,3.17529,3.3224,3.68357,3.76272,3.90106
키프로스,전체[exajoules],exajoules,0.09083,0.09218,0.09307,0.09881,0.10397,0.10894,0.11019,0.10867,0.11552,0.11242,0.12597,0.12388,0.12595,0.12908,0.12601,0.1226,0.12141,0.11378,0.1018,0.10186,0.10506,0.11425,0.11734,0.11686,0.11698,0.10181,0.10743,0.11403,0.11554
키프로스,석탄[exajoules],exajoules,0.00448,0.00419,0.00318,0.00059,0.001,0.00151,0.00222,0.00184,0.00184,0.00184,0.00184,0.00126,0.00115,0.00094,0.0005,0.00061,0.00029,0.00001,0.00001,0.00009,0.00014,0.00002,0.00012,0.00057,0.0007,0.00058,0.00173,0.00128,0.00117
키프로스,석유[100만 톤],100만 톤,2.057,2.101,2.146,2.344,2.457,2.559,2.569,2.542,2.702,2.63,2.954,2.914,2.962,3.028,2.956,2.853,2.8,2.602,2.314,2.335,2.38276,2.59449,2.65207,2.61602,2.59551,2.21665,2.27267,2.41076,2.40993
홍콩,전체[exajoules],exajoules,0.65045,0.65013,0.6577,0.67044,0.67904,0.71091,0.89791,0.87636,0.90506,1.0135,0.97233,1.02871,1.09445,1.01827,1.11189,1.15623,1.18559,1.13936,1.1701,1.14195,1.17522,1.20619,1.29363,1.30886,1.24036,0.92833,0.87697,0.78287,0.90341
홍콩,석탄[exajoules],exajoules,0.23454,0.1743,0.14708,0.18284,0.15629,0.18162,0.28688,0.22316,0.28302,0.26426,0.2875,0.28704,0.31319,0.287,0.29969,0.26072,0.31013,0.30527,0.32535,0.34101,0.28044,0.28042,0.26268,0.26979,0.25837,0.13763,0.15287,0.15036,0.1469
