국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
대한민국,전체,,183857,205382,224704,217889,237503,290126,310958,331882,345192,368162,389390,404021,427316,446429,454504,499508,523286,534618,541996,550934,552697,562700,566893.33,590128.997,581492.279,578594.549,611758.849,
대한민국,가연성 연료,,111348,126254,142211,122095,128362,175530,192834,207446,208584,231510,237231,249709,278819,289112,299668,342502,358505,374116,390858,381511,375110,385483,400161.406,435309.891,410786.299,386067.217,415290.588,
대한민국,수력,,5478,5201,5403,6099,6066,5610,5972,5311,6903,5880,5189,5219,5042,5563,5641,6472,7831,7652,8394,7820,5796,6634,7006.235,7270.453,6249.461,7148.249,6737.434,
대한민국,원자력,,67029,73924,77086,89689,103064,108964,112133,119103,129672,130715,146779,148749,142937,150958,147771,148596,154723,150327,138784,156407,164762,161995,148426.725,133505.261,145909.669,160183.721,158015.23,
대한민국,풍력,,0,0,1,2,6,17,13,15,25,47,130,239,376,436,685,817,863,917,1149,1146,1342,1683,2169.014,2464.879,2680.924,3151.442,3182.449,
대한민국,태양열,,2,3,3,4,5,5,6,7,8,10,15,31,70,285,566,772,917,1103,1605,2557,3975,5123,7056.219,9208.099,12996.018,17967.196,23394.938,
대한민국,기타,,,,,,,,,,,,46,74,72,75,173,349,447,503,1206,1493,1712,1782,2073.731,2370.414,2869.908,4076.724,5138.21,
아르메니아,전체,,5561,6215,6022,6191,5717,5958,5745,5519,5501,6030,6317,5941,5898,6114,5672,6491,7433,8036,7710,7750,7799,7315,7765.243,7791.196,7679.643,7838.683,7879.014,
아르메니아,가연성 연료,,3338,2318,3032,3065,2439,2692,2790,1579,1521,1613,1828,1476,1489,1854,1154,1438,2390,3399,3173,3289,2801,2581,2871.7,3375.598,3046.925,3165.549,3383.734,
아르메니아,수력,,1919,1573,1390,1537,1200,1261,968,1658,1982,2014,1773,1825,1856,1797,2020,2556,2489,2311,2173,1992,2206,2350,2269.1,2318.175,2370.943,1778.351,2201.725,
아르메니아,원자력,,304,2324,1600,1589,2078,2005,1987,2282,1998,2403,2716,2640,2553,2461,2494,2490,2548,2322,2360,2465,2788,2381,2619.6,2076.079,2197.8,2756.337,1998.386,
아르메니아,풍력,,,,,,,,,,,,,,,2,4,7,6,4,4,4,3,2,2.1,1.881,3.23,1.869,1.45,
아르메니아,태양열,,,,,,,,,,,,,,,,,,,,,,1,1,2.743,19.463,60.745,136.577,293.719,
아제르바이잔,전체,,17045,17088,16836,17998,18177,18699,18969,18701,21286,21743,22872,24543,21847,21645,18867,18709,20294,22988,23354,24728,24688.42,24952.9,24320.9,25229.2,26072.903,25839.103,27888.801,
아제르바이잔,가연성 연료,,15489,15550,15124,16047,16671,17165,17668,16681,18817,18988,19863,22025,19483,19411,16558,15263,17618,21167,21863,23423,23041.7,22935.5,22515.2,23339.2,24358.5,24626.5,26463.9,
아제르바이잔,수력,,1556,1538,1712,1951,1506,1534,1301,2020,2469,2755,3009,2518,2364,2232,2308,3446,2676,1821,1489,1300,1637.52,1959.3,1746.4,1768,1564.8,1069.5,1277.3,
아제르바이잔,풍력,,,,,,,,,,,,,,,2,1,,,,1,2,4.6,22.8,22.1,82.7,105.401,96.101,91.401,
아제르바이잔,태양열,,,,,,,,,,,,,,,,,,,,1,3,4.6,35.3,37.2,39.3,44.202,47.002,56.2,
바레인,전체,,11647,12235,12641,13502,13530,13859,14618,15258,15702,16150,19373,21042,21727,22819,22555,23819,24338,24728,25867,27204,28462,28479,29193,29516,33453,33374,33886.512,
바레인,가연성 연료,,11647,12235,12641,13502,13530,13859,14618,15258,15702,16150,19373,21042,21727,22819,22555,23819,24338,24728,25867,27204,28453,28469,29183,29506,33442,33363,33873.707,
