국가별,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
국가별,생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%),생산 (exajoules),- 점유율 (%),소비 (exajoules),- 점유율 (%)
세계,75.2,100,76,100,78.8,100,79.8,100,78.8,100,79.3,100,80.9,100,80.8,100,83.2,100,83.1,100,86.4,100,86.4,100,88.5,100,87.5,100,90.5,100,90.1,100,93.8,100,92.6,100,97,100,96.2,100,99.3,100,98.8,100,102.7,100,101.4,100,105.4,100,105.5,100,109.3,100,108.1,100,105.9,100,105.9,100,113.4,100,113.7,100,117.3,100,116.5,100,119.8,100,119.5,100,121.2,100,121.4,100,123.7,100,122.3,100,126.2,100,125.1,100,126.3,100,126.8,100,132.2,100,131.5,100,138.4,100,138,100,142.7,100,140.7,100,139.2,100,139.4,100,145.6,100,144.9,100,145.8,100,144.3,100,146.1,100,144.4,100
대한민국,-,-,0.3,0.4,-,-,0.5,0.5,-,-,0.6,0.7,-,-,0.5,0.6,-,-,0.6,0.7,-,-,0.7,0.8,-,-,0.8,0.8,-,-,0.9,0.9,-,-,0.9,0.9,-,-,1.1,1.1,-,-,1.1,1.1,-,-,1.2,1.1,-,-,1.3,1.2,-,-,1.3,1.2,-,-,1.3,1.1,-,-,1.6,1.3,-,-,1.7,1.4,-,-,1.9,1.5,-,-,2,1.6,-,-,1.8,1.4,-,-,1.6,1.3,-,-,1.7,1.3,-,-,1.8,1.3,-,-,2.1,1.5,-,-,2,1.4,-,-,2.1,1.5,-,-,2.2,1.5,-,-,2.2,1.6,-,-,2.2,1.5
아제르바이잔,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.3,0.4,0.3,0.3,0.3,0.6,0.5,0.4,0.3,0.6,0.5,0.3,0.3,0.6,0.5,0.3,0.2,0.6,0.4,0.3,0.3,0.6,0.5,0.3,0.3,0.6,0.5,0.3,0.3,0.7,0.5,0.4,0.3,0.7,0.5,0.4,0.3,0.7,0.5,0.4,0.3,0.6,0.5,0.4,0.3,0.7,0.5,0.4,0.3,0.9,0.6,0.4,0.3,0.9,0.7,0.4,0.3,1.1,0.8,0.5,0.3,1.2,0.8,0.5,0.3,1.3,0.9,0.5,0.4
바레인,0.3,0.3,-,-,0.3,0.3,-,-,0.3,0.4,-,-,0.3,0.4,-,-,0.3,0.4,-,-,0.3,0.4,-,-,0.3,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.3,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.5,0.4,-,-,0.5,0.4,-,-,0.5,0.5,-,-,0.5,0.5,-,-,0.5,0.4,-,-,0.5,0.4,-,-,0.5,0.4,-,-,0.5,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-,0.6,0.4,-,-
방글라데시,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.7,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.7,0.8,0.7,0.8,0.7,0.9,0.8,0.9,0.8,1,0.8,1,0.8,1,0.7,1,0.7,1,0.7,1,0.7,0.9,0.7,1.1,0.9,0.9,0.6,1.1,0.8,0.9,0.6,1.1,0.8,0.8,0.6,1,0.7,0.8,0.5,1,0.7
브루나이,0.4,0.6,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.5,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.4,0.4,-,-,0.5,-,-,-,0.5,0.4,-,-,0.5,0.3,-,-,0.5,0.3,-,-,0.5,0.3,-,-,0.5,0.3,-,-,0.5,0.3,-,-,0.4,0.3,-,-,0.4,0.3,-,-,0.4,0.2,-,-
중국,0.7,0.8,0.6,0.8,0.7,0.9,0.7,0.8,0.8,1,0.7,0.9,0.8,1,0.7,0.9,0.9,1.1,0.8,0.9,1,1.1,0.9,1,1.1,1.2,1,1.1,1.2,1.3,1.1,1.2,1.3,1.3,1.2,1.3,1.5,1.5,1.4,1.5,1.8,1.8,1.7,1.7,2.1,2,2.1,2,2.5,2.3,2.6,2.4,2.9,2.6,2.9,2.7,3.1,2.9,3.2,3,3.5,3,3.9,3.4,3.8,3.1,4.9,4,4,3.2,5.4,4.4,4.4,3.5,6.2,4.8,4.7,3.9,6.8,5.4,4.9,3.9,7,5.7,5,3.9,7.5,5.9,5.4,4.1,8.7,6.6,5.8,4.2,10.2,7.4,6.4,4.5,11.1,7.8,7,5,12.1,8.6,7.5,5.2,13.7,9.4,8,5.5,13.6,9.5,8.4,5.8,14.6,10.1
홍콩,-,-,0,0,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.1,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1,-,-,0.2,0.1
