,year,quater,Inventory Change,Spread Change,Dow Jones UBS Commodity Index,Spare Capacity,Saudi Production Change,WTI Production Change,Producers/Merchants short,Producers/Merchants net,Money Managers Long,Money Managers Short,Money Managers Net,Opec Disruption,Non-OPEC Disruption,World Consumption Change,non-OECD Consumption Growth,non-OPEC Production change,y-o-y % OECD Consumption Change,Capacity percent change,WTI Real Price (GDP Deflated)
0,2002,Q1,,,,7.03,-1.17,-24.76,,,,,,,,-0.14,1.9,0.99,-1.33,1.07,34.06
1,2002,Q2,,,,7.61,-0.53,-5.93,,,,,,,,0.63,2.21,1.75,-0.35,2.03,41.18
2,2002,Q3,,,,6.75,-0.27,5.97,,,,,,,,1.48,3.57,0.92,0.23,0.98,44.16
3,2002,Q4,,,,5.35,0.37,38.09,,,,,,,,2.52,3.52,0.8,1.91,0.0,43.86
4,2003,Q1,,,,2.04,1.62,57.3,,,,,,,,2.71,3.02,1.04,2.53,-3.22,52.54
5,2003,Q2,,,,1.38,1.69,10.32,,,,,,,,1.54,1.13,0.28,1.79,-5.15,44.57
6,2003,Q3,,,,2.22,0.75,6.8,,,,,,,,1.96,4.02,1.31,0.68,-2.67,46.22
7,2003,Q4,,,,1.99,0.52,10.32,,,,,,,,2.11,4.14,1.72,0.87,-0.14,47.41
8,2004,Q1,,,,1.87,-0.3,3.78,,,,,,,,3.02,6.15,1.39,1.12,3.81,53.33
9,2004,Q2,,,,1.67,-0.36,32.21,,,,,,,,4.76,9.65,1.84,1.66,5.37,57.38
10,2004,Q3,,,,0.7,0.98,45.06,,,,,,,,4.24,7.41,1.01,2.22,3.15,65.24
11,2004,Q4,,,,0.68,0.97,54.39,,,,,,,,3.77,6.81,0.65,1.86,1.37,71.09
12,2005,Q1,,,,1.09,0.9,41.24,,,,,,,,2.93,5.06,0.24,1.56,1.17,73.12
13,2005,Q2,,,,1.04,0.8,38.61,,,,,,,,1.94,2.92,0.68,1.26,2.04,77.26
14,2005,Q3,,,,0.94,0.1,44.41,,,,,,,,1.43,2.75,-0.07,0.54,1.12,91.24
15,2005,Q4,,,,0.98,0.0,24.61,,,,,,,,-0.4,-0.29,-0.47,-0.47,0.43,85.77
16,2006,Q1,49.29,3.03,1.91,1.12,-0.09,26.86,,,,,,,,0.72,2.41,0.13,-0.39,-0.04,89.88
17,2006,Q2,39.48,-0.16,13.31,1.36,-0.38,32.68,,,,,,,,0.83,2.85,-0.25,-0.56,-0.57,99.17
18,2006,Q3,135.31,5.4,-10.26,1.35,-0.4,11.42,,,,,,,,1.51,4.2,1.34,-0.33,1.43,98.56
19,2006,Q4,80.31,2.93,-2.71,1.95,-0.72,-0.1,,,,,,,,2.2,5.83,1.11,-0.21,1.28,83.42
20,2007,Q1,-2.94,0.89,4.1,2.3,-0.76,-8.25,,,,,,,,1.31,5.39,0.79,-1.46,0.96,80.03
21,2007,Q2,-3.7,-0.54,-2.06,2.29,-0.62,-7.8,,,,,,,,2.35,5.37,0.94,0.18,1.07,88.96
22,2007,Q3,-129.83,-11.99,11.44,2.07,-0.54,6.64,,,,,,,,1.75,4.46,0.1,-0.19,-0.14,102.57
23,2007,Q4,-113.19,-11.4,11.08,1.62,0.18,51.15,,,,,,,,2.37,5.57,0.59,0.12,0.67,122.93
24,2008,Q1,-34.77,-8.84,17.23,1.51,0.55,68.5,-334.7666667,-122.48,167.2966667,-91.69333333,75.60333333,,,0.74,4.3,0.39,-1.85,1.11,132.22
25,2008,Q2,-67.35,-0.85,37.34,1.41,0.72,90.52,-271.4233333,-63.48666667,171.09,-87.81666667,83.27666667,,,0.85,4.7,0.26,-2.05,0.93,166.64
26,2008,Q3,-2.9,8.56,-5.88,1.16,0.9,57.25,-222.4566667,-102.8033333,123.3766667,-77.22,46.16,,,-0.87,4.49,0.06,-4.88,0.78,158.02
27,2008,Q4,112.01,20.35,-36.61,1.95,-0.02,-35.22,-262.5566667,-125.37,103.6166667,-97.13333333,6.483333333,,,-3.36,-0.41,0.01,-5.56,0.39,78.26
28,2009,Q1,169.19,15.65,-45.54,3.76,-1.13,-55.91,-346.66,-191.0433333,134.15,-98.98333333,35.16333333,,,-3.25,-1.35,0.13,-4.7,0.3,57.52
29,2009,Q2,152.23,4.38,-47.42,3.86,-1.19,-51.84,-336.1733333,-204.2766667,130.13,-71.51666667,58.61,,,-2.14,2.38,0.38,-5.79,0.81,79.58
30,2009,Q3,120.7,2.24,-23.9,4.35,-1.17,-42.45,-311.02,-186.3266667,142.3066667,-78.13,64.17333333,,,-0.01,4.1,1.35,-3.4,2.75,90.83
31,2009,Q4,-37.73,-9.83,18.72,4.85,-0.68,29.51,-368.4833333,-228.2033333,178.4866667,-43.12666667,135.3566667,,,1.61,7.02,1.38,-2.63,3.63,101.03
32,2010,Q1,-67.73,-8.79,20.38,5.19,0.07,82.68,-400.8466667,-236.1533333,190.6633333,-45.62,145.0466667,0.233333333,0.0,2.28,6.65,1.84,-1.21,4.19,104.5
33,2010,Q2,-3.26,-1.25,2.62,5.45,0.03,30.55,-410.7266667,-217.1166667,183.25,-84.25,99.00333333,0.283333333,0.0,3.23,4.91,2.08,1.75,4.5,102.71
34,2010,Q3,-34.0,0.89,9.88,5.33,-0.22,11.74,-340.8333333,-193.7833333,187.3333333,-91.89333333,95.44666667,0.193333333,0.0,3.63,3.65,1.63,3.62,2.9,100.04
35,2010,Q4,14.26,-2.03,16.67,5.29,-0.05,12.14,-370.0266667,-154.9166667,238.5366667,-65.08666667,173.45,0.133333333,0.0,3.72,5.98,1.55,1.78,2.2,111.44
36,2011,Q1,-36.13,-1.32,28.31,4.46,0.75,19.36,-437.5233333,-198.1066667,253.3233333,-45.56666667,207.7566667,0.603333333,0.32,2.05,4.12,0.7,0.26,0.63,122.41
37,2011,Q2,-78.3,0.75,25.76,3.89,0.97,31.11,-396.6466667,-193.87,255.2866667,-48.93333333,206.3566667,1.456666667,0.413333333,0.06,2.31,-0.1,-1.98,-1.64,131.81
38,2011,Q3,-84.54,-3.15,-0.07,3.19,1.62,17.65,-378.15,-168.4833333,227.03,-67.94,159.09,1.633333333,0.416666667,0.48,2.46,0.15,-1.26,-1.23,115.02
39,2011,Q4,-80.18,-4.09,-13.37,3.29,1.48,10.4,-283.7533333,-118.5833333,220.06,-45.71666667,174.3533333,1.31,0.546666667,0.08,2.36,0.37,-1.96,-0.67,120.78
40,2012,Q1,3.21,1.1,-16.31,2.66,1.04,9.43,-306.14,-81.60666667,239.2466667,-39.67666667,199.57,0.763333333,0.91,0.87,3.48,0.94,-1.47,0.52,131.37
41,2012,Q2,-4.4,-1.0,-14.36,2.58,0.72,-8.56,-271.7566667,-53.90333333,188.06,-57.88666667,130.1766667,0.84,0.873333333,1.86,3.48,0.83,0.34,1.73,118.56
42,2012,Q3,57.01,-0.99,5.92,2.48,0.1,2.99,-295.8133333,-42.44666667,202.1233333,-52.43333333,149.69,1.09,0.91,0.99,4.27,0.5,-2.04,1.12,116.41
43,2012,Q4,55.63,2.41,-1.14,2.85,-0.21,-6.46,-296.57,-20.3,185.6366667,-81.08666667,104.5533333,1.353333333,0.75,2.01,4.99,1.08,-0.77,0.96,110.67
44,2013,Q1,2.57,-5.12,-3.12,3.27,-0.83,-8.37,-262.5866667,10.90666667,214.83,-37.04666667,177.7833333,1.323333333,0.886666667,1.78,4.84,0.58,-1.09,0.03,118.19
45,2013,Q2,-32.62,-10.05,-8.09,2.8,-0.25,0.82,-318.92,29.23666667,236.6466667,-37.98,198.67,1.403333333,0.876666667,2.03,3.89,1.58,0.22,0.9,117.51
46,2013,Q3,-39.55,-10.13,-14.41,2.27,0.2,14.82,-317.4566667,43.30666667,314.0733333,-41.21,272.8633333,2.203333333,0.833333333,1.84,2.93,2.38,0.76,1.27,131.51
47,2013,Q4,-95.19,-7.85,-9.58,2.57,0.31,10.78,-298.53,6.733333333,278.25,-43.9,234.35,2.503333333,0.603333333,0.96,1.54,2.0,0.38,0.61,120.54
48,2014,Q1,-73.93,-6.3,-2.15,2.47,0.7,4.61,-293.3033333,-40.81,328.4666667,-41.11333333,287.3566667,2.32,0.59,1.58,3.01,2.2,0.17,1.51,121.54
49,2014,Q2,1.97,-2.05,8.16,2.6,0.05,9.89,-331.8,-87.77,360.3033333,-34.03,326.2766667,2.573333333,0.62,1.71,4.95,2.46,-1.55,1.72,126.62
50,2014,Q3,35.69,4.7,-6.62,2.45,-0.4,-7.52,-251.5733333,-41.90333333,278.64,-55.57666667,223.0633333,2.256666667,0.52,1.69,4.24,2.38,-0.86,2.82,119.39
51,2014,Q4,144.65,13.18,-17.04,2.36,-0.17,-24.91,-270.7933333,-60.5,258.65,-69.11666667,189.5333333,2.43,0.36,1.75,3.75,2.78,-0.25,4.09,89.28
52,2015,Q1,208.81,18.82,-27.06,2.18,0.01,-50.87,-368.93,-125.6733333,320.7733333,-128.23,192.54,2.563333333,0.266666667,1.54,1.21,2.52,1.88,2.93,59.16
53,2015,Q2,225.6,10.87,-23.72,1.62,0.63,-44.02,-378.07,-169.9166667,314.06,-70.92,243.14,2.613333333,0.466666667,2.05,2.14,1.71,1.95,2.57,70.19
54,2015,Q3,230.51,8.9,-26.01,1.51,0.59,-52.43,-326.0766667,-146.4033333,251.4633333,-136.0966667,115.3633333,2.743333333,0.396666667,2.62,2.76,1.49,2.48,2.21,56.34
55,2015,Q4,282.73,0.47,-24.7,1.65,0.5,-42.72,-366.1133333,-207.07,254.14,-154.7933333,99.34333333,2.78,0.306666667,1.47,2.49,0.44,0.41,0.91,50.76
56,2016,Q1,251.55,-3.57,-19.66,1.67,0.4,-31.21,-445.0766667,-267.5966667,278.3366667,-148.83,129.5033333,2.093333333,0.34,2.04,3.81,-0.04,0.24,1.02,40.39
